profile,snr_db,confidence_bin,count,success_rate,bler,fallback_rate,avg_queries
A,-4.0,"(-0.001, 0.1]",1200,0.0,1.0,1.0,3999.0
A,-4.0,"(0.1, 0.2]",0,,,,
A,-4.0,"(0.2, 0.3]",0,,,,
A,-4.0,"(0.3, 0.4]",0,,,,
A,-4.0,"(0.4, 0.5]",0,,,,
A,-4.0,"(0.5, 0.6]",0,,,,
A,-4.0,"(0.6, 0.7]",0,,,,
A,-4.0,"(0.7, 0.8]",0,,,,
A,-4.0,"(0.8, 0.9]",0,,,,
A,-4.0,"(0.9, 1.0]",0,,,,
A,-2.0,"(-0.001, 0.1]",1200,0.0,1.0,1.0,3999.0
A,-2.0,"(0.1, 0.2]",0,,,,
A,-2.0,"(0.2, 0.3]",0,,,,
A,-2.0,"(0.3, 0.4]",0,,,,
A,-2.0,"(0.4, 0.5]",0,,,,
A,-2.0,"(0.5, 0.6]",0,,,,
A,-2.0,"(0.6, 0.7]",0,,,,
A,-2.0,"(0.7, 0.8]",0,,,,
A,-2.0,"(0.8, 0.9]",0,,,,
A,-2.0,"(0.9, 1.0]",0,,,,
A,0.0,"(-0.001, 0.1]",1184,0.0008445945945945,0.9991554054054054,1.0,3997.466216216216
A,0.0,"(0.1, 0.2]",9,0.3333333333333333,0.6666666666666666,0.6666666666666666,2681.1111111111118
A,0.0,"(0.2, 0.3]",2,1.0,1.0,0.0,313.0
A,0.0,"(0.3, 0.4]",1,1.0,0.0,0.0,30.0
A,0.0,"(0.4, 0.5]",1,1.0,0.0,0.0,1.0
A,0.0,"(0.5, 0.6]",2,1.0,0.0,0.0,14.5
A,0.0,"(0.6, 0.7]",0,,,,
A,0.0,"(0.7, 0.8]",1,1.0,0.0,0.0,1.0
A,0.0,"(0.8, 0.9]",0,,,,
A,0.0,"(0.9, 1.0]",0,,,,
A,2.0,"(-0.001, 0.1]",684,0.0014619883040935,0.9985380116959064,1.0,3996.758771929824
A,2.0,"(0.1, 0.2]",89,0.1235955056179775,0.9101123595505618,0.9101123595505618,3671.303370786517
A,2.0,"(0.2, 0.3]",54,0.2777777777777778,0.7962962962962963,0.7407407407407407,3010.962962962963
A,2.0,"(0.3, 0.4]",44,0.4090909090909091,0.6363636363636364,0.6363636363636364,2529.5
A,2.0,"(0.4, 0.5]",37,0.4324324324324324,0.6486486486486487,0.6756756756756757,2610.2162162162163
A,2.0,"(0.5, 0.6]",36,0.8055555555555556,0.2777777777777778,0.2777777777777778,1169.25
A,2.0,"(0.6, 0.7]",40,0.75,0.35,0.3,1399.55
A,2.0,"(0.7, 0.8]",29,0.9310344827586208,0.1724137931034483,0.1379310344827586,553.1379310344828
A,2.0,"(0.8, 0.9]",72,0.8888888888888888,0.1805555555555555,0.1666666666666666,694.6944444444445
A,2.0,"(0.9, 1.0]",115,0.982608695652174,0.0521739130434782,0.0434782608695652,179.1478260869565
A,4.0,"(-0.001, 0.1]",203,0.0,1.0,1.0,3999.0
A,4.0,"(0.1, 0.2]",33,0.0,1.0,1.0,3999.0
A,4.0,"(0.2, 0.3]",20,0.1,0.9,0.9,3599.2
A,4.0,"(0.3, 0.4]",19,0.2105263157894736,0.7894736842105263,0.8421052631578947,3352.736842105264
A,4.0,"(0.4, 0.5]",20,0.15,0.85,0.85,3521.15
A,4.0,"(0.5, 0.6]",24,0.4583333333333333,0.5833333333333334,0.625,2471.5
A,4.0,"(0.6, 0.7]",31,0.5161290322580645,0.4838709677419355,0.6129032258064516,2426.3870967741937
A,4.0,"(0.7, 0.8]",29,0.7241379310344828,0.2758620689655172,0.5172413793103449,1702.6206896551723
A,4.0,"(0.8, 0.9]",67,0.8955223880597015,0.1044776119402985,0.2238805970149253,878.5671641791045
A,4.0,"(0.9, 1.0]",754,0.9880636604774536,0.0225464190981432,0.0318302387267904,90.8793103448276
A,6.0,"(-0.001, 0.1]",92,0.0,1.0,1.0,3999.0
A,6.0,"(0.1, 0.2]",12,0.0,1.0,1.0,3999.0
A,6.0,"(0.2, 0.3]",11,0.0,1.0,1.0,3999.0
A,6.0,"(0.3, 0.4]",12,0.0,1.0,1.0,3999.0
A,6.0,"(0.4, 0.5]",9,0.1111111111111111,0.8888888888888888,1.0,3837.777777777778
A,6.0,"(0.5, 0.6]",9,0.1111111111111111,0.8888888888888888,1.0,3663.444444444444
A,6.0,"(0.6, 0.7]",10,0.3,0.7,0.9,2997.2
A,6.0,"(0.7, 0.8]",11,0.6363636363636364,0.3636363636363636,0.7272727272727273,2115.454545454545
A,6.0,"(0.8, 0.9]",20,0.9,0.15,0.4,1148.4
A,6.0,"(0.9, 1.0]",1014,0.9990138067061144,0.0019723865877712,0.0088757396449704,17.169625246548325
C,-4.0,"(-0.001, 0.1]",1200,0.0,1.0,1.0,3999.0
C,-4.0,"(0.1, 0.2]",0,,,,
C,-4.0,"(0.2, 0.3]",0,,,,
C,-4.0,"(0.3, 0.4]",0,,,,
C,-4.0,"(0.4, 0.5]",0,,,,
C,-4.0,"(0.5, 0.6]",0,,,,
C,-4.0,"(0.6, 0.7]",0,,,,
C,-4.0,"(0.7, 0.8]",0,,,,
C,-4.0,"(0.8, 0.9]",0,,,,
C,-4.0,"(0.9, 1.0]",0,,,,
C,-2.0,"(-0.001, 0.1]",1200,0.0,1.0,1.0,3999.0
C,-2.0,"(0.1, 0.2]",0,,,,
C,-2.0,"(0.2, 0.3]",0,,,,
C,-2.0,"(0.3, 0.4]",0,,,,
C,-2.0,"(0.4, 0.5]",0,,,,
C,-2.0,"(0.5, 0.6]",0,,,,
C,-2.0,"(0.6, 0.7]",0,,,,
C,-2.0,"(0.7, 0.8]",0,,,,
C,-2.0,"(0.8, 0.9]",0,,,,
C,-2.0,"(0.9, 1.0]",0,,,,
C,0.0,"(-0.001, 0.1]",1193,0.0,1.0,1.0,3999.0
C,0.0,"(0.1, 0.2]",2,0.0,1.0,1.0,3999.0
C,0.0,"(0.2, 0.3]",2,0.0,1.0,1.0,5199.0
C,0.0,"(0.3, 0.4]",1,1.0,1.0,0.0,11.0
C,0.0,"(0.4, 0.5]",2,0.5,0.5,0.5,3662.5
C,0.0,"(0.5, 0.6]",0,,,,
C,0.0,"(0.6, 0.7]",0,,,,
C,0.0,"(0.7, 0.8]",0,,,,
C,0.0,"(0.8, 0.9]",0,,,,
C,0.0,"(0.9, 1.0]",0,,,,
C,2.0,"(-0.001, 0.1]",632,0.0,1.0,1.0,3999.0
C,2.0,"(0.1, 0.2]",87,0.0804597701149425,0.9195402298850576,0.9540229885057472,3793.126436781609
C,2.0,"(0.2, 0.3]",69,0.3188405797101449,0.6956521739130435,0.7101449275362319,2782.6666666666665
