profile,snr_db,decoder,samples,frame_errors,bler,ci_low,ci_high,plot_eligible,avg_latency_ms,p95_latency_ms,p99_latency_ms,avg_queries,p95_queries,rescue_rate,micro_bp_rate,main_success_rate,stop_target_errors,max_samples_cap
A,0.0,bp_10,1104,1104,1.0,0.9966641998682739,1.0,1,139.2696912740391,141.6282230289653,143.27754070982337,10.0,10.0,0.0,0.0,0.0,200,80000
A,0.0,bp_20,1104,1104,1.0,0.9966641998682739,1.0,1,278.31114277596237,282.70990669261664,286.30008365027606,20.0,20.0,0.0,0.0,0.0,200,80000
A,0.0,bp_50,1104,1104,1.0,0.9966641998682739,1.0,1,695.4869828486403,707.1082012029365,716.1108156014234,50.0,50.0,0.0,0.0,0.0,200,80000
A,0.0,bp_cdf_rescue,1104,241,0.21829710144927536,0.1942536445069748,0.243851680519409,1,59.95566935356086,117.62133133597672,119.21834850683808,21.652173913043477,96.0,0.22554347826086957,0.0,0.7744565217391305,200,80000
A,0.0,bp_nms_20,1104,242,0.21920289855072464,0.1951207269136809,0.24479128062421515,1,54.87524972093102,95.03342951647937,96.58945813775063,11.605978260869565,20.0,0.0,0.0,0.7744565217391305,200,80000
A,0.0,bp_nms_50,1104,201,0.18206521739130435,0.1597201730643434,0.20611856457515917,1,82.44125584040876,236.90926095005125,240.2590893022716,17.458333333333332,50.0,0.0,0.0,0.8170289855072463,200,80000
A,0.0,bp_orb_rescue,1104,241,0.21829710144927536,0.1942536445069748,0.243851680519409,1,59.182819731928326,113.7513249181211,115.36049104295672,18.043478260869566,80.0,0.22554347826086957,0.0,0.7744565217391305,200,80000
A,0.0,bp_segmented_rescue,1104,240,0.21739130434782608,0.1933867335909061,0.2429119096730556,1,59.05641940341371,113.67382537573576,115.03509403206408,18.043478260869566,80.0,0.22554347826086957,0.0,0.7744565217391305,200,80000
A,0.0,bp_wbf_post,1104,240,0.21739130434782608,0.1933867335909061,0.2429119096730556,1,56.68697041666905,104.31369952857494,105.8782851928845,2.232789855072464,10.0,0.22554347826086957,0.0,0.7744565217391305,200,80000
A,0.0,hybrid_bp_nsg,1104,238,0.21557971014492755,0.19165342933674187,0.2410318526818367,1,62.451034450255655,112.68994200509042,126.56768269371267,0.8695652173913043,0.0,0.009057971014492754,0.0,0.7744565217391305,200,80000
