profile,snr_db,decoder,samples,frame_errors,payload_frame_errors,fer,bler,payload_fer,ber_internal,payload_ber,avg_queries,p95_queries,rescue_rate,micro_bp_rate,main_success_rate,avg_latency_ms,crc_fail_rate,framework,num_gpus,weights_used,channel_type,modulation,perfect_csi,equalizer,avg_crc_valid_candidates,avg_parity_valid_candidates
AWGN,0.0,bp_nms_20,200,200,200,1.0,1.0,1.0,0.19909246575342465,0.2330859375,0.0,0.0,0.0,0.0,0.0,71.1121755419299,1.0,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,,
AWGN,0.0,bp_nms_50,200,200,200,1.0,1.0,1.0,0.19803938356164383,0.23177734375,0.0,0.0,0.0,0.0,0.0,177.0443742373027,1.0,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,,
AWGN,0.0,hybrid_bp_nsg,200,200,200,1.0,1.0,1.0,0.19909246575342465,0.2330859375,59.745,60.0,0.0,0.0,0.0,251.28336314111948,1.0,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.0,0.005
AWGN,2.0,bp_nms_20,206,47,40,0.22815533980582525,0.22815533980582525,0.1941747572815534,0.018370129006516824,0.020270782766990292,0.0,0.0,0.0,0.0,0.7718446601941747,48.85148017857115,0.22815533980582525,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,,
AWGN,2.0,bp_nms_50,206,25,25,0.12135922330097088,0.12135922330097088,0.12135922330097088,0.01209436095225429,0.012932342233009708,0.0,0.0,0.0,0.0,0.8786407766990292,64.61187895360285,0.12135922330097088,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,,
AWGN,2.0,hybrid_bp_nsg,206,30,30,0.14563106796116504,0.14563106796116504,0.14563106796116504,0.01725628408032983,0.01947436286407767,7.266990291262136,60.0,0.0825242718446602,0.0,0.7718446601941747,83.69796314204419,0.14563106796116504,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.8543689320388349,0.8689320388349514
AWGN,4.0,bp_nms_20,10000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.983746540686116,0.0,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,,
AWGN,4.0,bp_nms_50,10000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.852765046944842,0.0,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,,
AWGN,4.0,hybrid_bp_nsg,10000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.880253367265688,0.0,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,1.0,1.0
CDL_C,0.0,bp_nms_20,200,144,144,0.72,0.72,0.72,0.2712414383561644,0.28236328125,0.0,0.0,0.0,0.0,0.28,57.91345115751028,0.72,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C,QPSK,True,one_tap_perfect_csi,,
CDL_C,0.0,bp_nms_50,200,139,139,0.695,0.695,0.695,0.26976883561643833,0.28072265625,0.0,0.0,0.0,0.0,0.305,131.87978112371638,0.695,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C,QPSK,True,one_tap_perfect_csi,,
CDL_C,0.0,hybrid_bp_nsg,200,143,143,0.715,0.715,0.715,0.2711986301369863,0.28234375,42.08,60.0,0.005,0.0,0.28,197.01110039604828,0.715,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C,QPSK,True,one_tap_perfect_csi,0.285,0.295
CDL_C,2.0,bp_nms_20,200,132,132,0.66,0.66,0.66,0.24595890410958904,0.25318359375,0.0,0.0,0.0,0.0,0.34,53.70493874652311,0.66,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C,QPSK,True,one_tap_perfect_csi,,
CDL_C,2.0,bp_nms_50,200,128,128,0.64,0.64,0.64,0.24268835616438356,0.2527734375,0.0,0.0,0.0,0.0,0.36,121.50321614462882,0.64,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C,QPSK,True,one_tap_perfect_csi,,
CDL_C,2.0,hybrid_bp_nsg,200,131,131,0.655,0.655,0.655,0.24583904109589041,0.25306640625,38.575,60.0,0.005,0.0,0.34,181.06664912309498,0.655,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C,QPSK,True,one_tap_perfect_csi,0.345,0.345
CDL_C,4.0,bp_nms_20,200,112,112,0.56,0.56,0.56,0.22231164383561644,0.22771484375,0.0,0.0,0.0,0.0,0.44,46.41767533728853,0.56,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C,QPSK,True,one_tap_perfect_csi,,
CDL_C,4.0,bp_nms_50,200,112,112,0.56,0.56,0.56,0.2220376712328767,0.22830078125,0.0,0.0,0.0,0.0,0.44,104.35800144681707,0.56,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C,QPSK,True,one_tap_perfect_csi,,
CDL_C,4.0,hybrid_bp_nsg,200,112,112,0.56,0.56,0.56,0.22231164383561644,0.22771484375,31.53,60.0,0.0,0.0,0.44,153.2606640108861,0.56,tensorflow,1,outputs/hybrid_bp_nsg_v13_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C,QPSK,True,one_tap_perfect_csi,0.44,0.45
