profile,snr_db,decoder,samples,frame_errors,payload_frame_errors,fer,bler,payload_fer,ber_internal,payload_ber,avg_queries,p95_queries,rescue_rate,micro_bp_rate,main_success_rate,avg_latency_ms,crc_fail_rate,framework,num_gpus,weights_used,channel_type,modulation,perfect_csi,equalizer,avg_crc_valid_candidates,avg_parity_valid_candidates
AWGN,0.0,hybrid_bp_nsg,4000,3548,3548,0.887,0.887,0.887,0.21521361301369868,0.239890625,6502.205,6509.0,0.11275,0.0,0.0005,1674.338265481987,0.88675,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.11325,5.45575
AWGN,0.0,bp_nms_20,4000,3998,3998,0.9995,0.9995,0.9995,0.19850256849315007,0.23137890625,0.0,0.0,0.0,0.0,0.0005,165.45953876851127,0.9995,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.0,0.0
AWGN,0.0,bp_nms_50,4000,3990,3990,0.9975,0.9975,0.9975,0.19824999999999987,0.230970703125,0.0,0.0,0.0,0.0,0.0025,409.2192423332017,0.9975,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.0,0.0
AWGN,1.0,hybrid_bp_nsg,4000,1729,1729,0.43225,0.43225,0.43225,0.0959815924657532,0.1052861328125,5814.16,6508.0,0.46175,0.0,0.106,1409.0002923741704,0.43225,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.56775,3.27825
AWGN,1.0,bp_nms_20,4000,3576,3521,0.894,0.894,0.88025,0.12786386986301404,0.145921875,0.0,0.0,0.0,0.0,0.106,161.36002908053342,0.894,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.0,0.0
AWGN,1.0,bp_nms_50,4000,3107,3100,0.77675,0.77675,0.775,0.11982962328767136,0.13770703125,0.0,0.0,0.0,0.0,0.22325,361.30257882282604,0.77675,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.0,0.0
AWGN,2.0,hybrid_bp_nsg,4000,166,166,0.0415,0.0415,0.0415,0.008863013698630146,0.0096748046875,1464.5435,6502.0,0.18375,0.0,0.77475,414.3944489728892,0.0415,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.9585,1.21625
AWGN,2.0,bp_nms_20,4000,901,818,0.22525,0.22525,0.2045,0.019610017123287717,0.021931640625,0.0,0.0,0.0,0.0,0.77475,113.50460085249506,0.22525,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.0,0.0
AWGN,2.0,bp_nms_50,4000,419,417,0.10475,0.10475,0.10425,0.013284246575342456,0.0153564453125,0.0,0.0,0.0,0.0,0.89525,147.4840202461928,0.10475,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.0,0.0
AWGN,3.0,hybrid_bp_nsg,4000,1,1,0.00025,0.00025,0.00025,8.98972602739726e-06,5.859375e-06,16.252,0.0,0.00225,0.0,0.9975,66.30060315190349,0.00025,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.99975,1.0
