profile,profile_id,snr_db,decoder,true_error_weight,block_error,bit_errors,queries,elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,stage
A,0,0.0,baseline,10,1,10,2499,91.5194760018494,0,24,0,-1,,baseline_fail
A,0,0.0,nsgrand,10,1,10,1799,201.56642101937905,1,18,0,5,0.0003037256537936628,baseline_fail
A,0,0.0,baseline,8,1,8,2499,56.735243008006364,0,24,0,-1,,baseline_fail
A,0,0.0,nsgrand,8,1,8,1799,73.52874899515882,1,18,0,5,0.0004214165674056858,baseline_fail
A,0,0.0,baseline,16,1,16,2499,56.848682987038046,0,24,0,-1,,baseline_fail
A,0,0.0,nsgrand,16,1,16,1799,70.88939897948876,1,18,0,5,5.633314867736772e-05,baseline_fail
A,0,0.0,baseline,15,1,15,2499,59.206164005445316,0,24,0,-1,,baseline_fail
A,0,0.0,nsgrand,15,1,15,1799,70.95448797917925,1,18,0,5,8.999364945339039e-05,baseline_fail
A,0,0.0,baseline,8,1,8,2499,56.16799299605191,0,24,0,-1,,baseline_fail
A,0,0.0,nsgrand,8,1,8,1799,73.48498998908326,1,18,0,5,0.0005865400307811797,baseline_fail
A,0,0.0,baseline,10,1,10,2499,59.59506399813108,0,24,0,-1,,baseline_fail
A,0,0.0,nsgrand,10,1,10,1799,71.26602900098078,1,18,0,5,0.00015765333955641836,baseline_fail
A,0,0.0,baseline,10,1,10,2499,56.19998197653331,0,24,0,-1,,baseline_fail
A,0,0.0,nsgrand,10,1,10,1799,73.15964001463726,1,18,0,5,0.0002775894245132804,baseline_fail
A,0,0.0,baseline,11,1,11,2499,55.479371978435665,0,24,0,-1,,baseline_fail
A,0,0.0,nsgrand,11,1,11,1799,70.94098901143298,1,18,0,5,0.0002691499830689281,baseline_fail
A,0,0.0,baseline,19,1,19,2499,56.978143024025485,0,24,0,-1,,baseline_fail
A,0,0.0,nsgrand,19,1,19,1799,74.86993999918923,1,18,0,5,7.747129711788148e-05,baseline_fail
A,0,0.0,baseline,14,1,14,2499,55.88237300980836,0,24,0,-1,,baseline_fail
A,0,0.0,nsgrand,14,1,14,1799,72.12790902121924,1,18,0,5,0.00011248020746279508,baseline_fail
A,0,0.0,baseline,16,1,16,2499,57.08388300263323,0,24,0,-1,,baseline_fail
A,0,0.0,nsgrand,16,1,16,1799,69.95505801751278,1,18,0,5,6.375570956151932e-05,baseline_fail
A,0,0.0,baseline,13,1,13,2499,56.41782301245257,0,24,0,-1,,baseline_fail
A,0,0.0,nsgrand,13,1,13,1799,73.82416000473313,1,18,0,5,0.00013127103738952428,baseline_fail
