profile,profile_id,snr_db,decoder,true_error_weight,block_error,bit_errors,queries,elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,stage
A,0,-4.0,baseline,22,1,22,2499,74.40550997853279,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,22,1,22,1799,202.15810197987594,1,18,0,5,4.262677248334512e-05,baseline_fail
A,0,-4.0,baseline,26,1,26,2499,56.91843299428001,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,26,1,26,1799,74.32484001037665,1,18,0,5,2.8846910936408676e-05,baseline_fail
A,0,-4.0,baseline,26,1,26,2499,57.288432988571,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,26,1,26,1799,71.39579899376258,1,18,0,5,4.282160443835892e-05,baseline_fail
A,0,-4.0,baseline,29,1,29,2499,58.60280300839804,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,29,1,29,1799,71.45626901183277,1,18,0,5,4.185119178146124e-05,baseline_fail
A,0,-4.0,baseline,16,1,16,2499,56.68208299903199,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,16,1,16,1799,74.15507000405341,1,18,0,5,5.212521136854775e-05,baseline_fail
A,0,-4.0,baseline,22,1,22,2499,59.123593993717805,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,22,1,22,1799,73.17117901402526,1,18,0,5,5.03865594509989e-05,baseline_fail
A,0,-4.0,baseline,27,1,27,2499,56.71597199398093,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,27,1,27,1799,73.73853900935501,1,18,0,5,4.1623246943345293e-05,baseline_fail
A,0,-4.0,baseline,21,1,21,2499,55.74007300310768,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,21,1,21,1799,71.1614289903082,1,18,0,5,4.401919068186544e-05,baseline_fail
A,0,-4.0,baseline,26,1,26,2499,56.34557199664414,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,26,1,26,1799,73.19635999738239,1,18,0,5,3.523887426126748e-05,baseline_fail
A,0,-4.0,baseline,28,1,28,2499,57.257262989878654,0,24,0,-1,,baseline_fail
