profile,profile_id,snr_db,decoder,true_error_weight,block_error,bit_errors,queries,elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,stage
C,1,2.0,baseline,6,1,6,2499,69.29085799492896,0,24,1,-1,,baseline_fail
C,1,2.0,nsgrand,6,1,6,1799,200.88028098689392,1,18,1,5,0.030414044857025146,baseline_fail
C,1,2.0,baseline,21,1,21,2499,55.6035420158878,0,24,0,-1,,baseline_fail
C,1,2.0,nsgrand,21,1,21,1799,70.76749901170842,1,18,0,5,6.092490002629347e-05,baseline_fail
C,1,2.0,baseline,6,1,6,2499,56.31704200641252,0,24,1,-1,,baseline_fail
C,1,2.0,nsgrand,6,1,6,1799,69.72827800200321,1,18,1,5,0.0033951951190829277,baseline_fail
C,1,2.0,baseline,2,0,0,15,33.47328398376703,0,24,1,-1,,baseline
C,1,2.0,nsgrand,2,0,0,1,1.8388509924989194,0,18,1,2,0.9983633160591125,ai
C,1,2.0,baseline,6,1,6,2499,56.115271989256144,0,24,1,-1,,baseline_fail
C,1,2.0,nsgrand,6,1,6,1799,70.54478899226524,1,18,1,5,0.004301460459828377,baseline_fail
C,1,2.0,baseline,5,1,5,2499,56.53102300129831,0,24,1,-1,,baseline_fail
C,1,2.0,nsgrand,5,1,5,1799,71.39056801679544,1,18,1,5,0.10153579711914062,baseline_fail
C,1,2.0,baseline,6,1,6,2499,55.935662996489555,0,24,0,-1,,baseline_fail
C,1,2.0,nsgrand,6,1,6,1799,70.72430799598806,1,18,1,5,0.005178435239940882,baseline_fail
C,1,2.0,baseline,7,1,7,2499,56.777553021674976,0,24,1,-1,,baseline_fail
C,1,2.0,nsgrand,7,1,7,1799,70.58911898639053,1,18,1,5,0.004186595324426889,baseline_fail
C,1,2.0,baseline,7,1,7,2499,55.34067199914716,0,24,0,-1,,baseline_fail
C,1,2.0,nsgrand,7,1,7,1799,69.3641180114355,1,18,1,5,0.004684907849878073,baseline_fail
C,1,2.0,baseline,8,1,8,2499,56.07533300644718,0,24,0,-1,,baseline_fail
C,1,2.0,nsgrand,8,1,8,1799,70.87885797955096,1,18,0,5,0.002723982557654381,baseline_fail
C,1,2.0,baseline,8,1,8,2499,55.48859300324693,0,24,0,-1,,baseline_fail
C,1,2.0,nsgrand,8,1,8,1799,69.80242801364511,1,18,1,5,0.003994988277554512,baseline_fail
C,1,2.0,baseline,7,1,7,2499,55.619262013351545,0,24,0,-1,,baseline_fail
C,1,2.0,nsgrand,7,1,7,1799,69.34574799379334,1,18,1,5,0.00229925150051713,baseline_fail
C,1,2.0,baseline,1,0,0,14,33.02736399928108,0,24,1,-1,,baseline
C,1,2.0,nsgrand,1,0,0,1,1.42806998337619,0,18,1,1,0.9981022477149963,ai
C,1,2.0,baseline,6,1,6,2499,55.521903006592765,0,24,0,-1,,baseline_fail
C,1,2.0,nsgrand,6,1,6,1799,71.77596801193431,1,18,0,5,0.004352102987468243,baseline_fail
C,1,2.0,baseline,6,1,6,2499,55.55361200822517,0,24,1,-1,,baseline_fail
C,1,2.0,nsgrand,6,1,6,1799,70.76475801295601,1,18,1,5,0.008749816566705704,baseline_fail
C,1,2.0,baseline,6,1,6,2499,56.09796199132688,0,24,1,-1,,baseline_fail
C,1,2.0,nsgrand,6,1,6,1799,70.89643899234943,1,18,1,5,0.005165483802556992,baseline_fail
C,1,2.0,baseline,15,1,15,2499,55.9505520213861,0,24,0,-1,,baseline_fail
C,1,2.0,nsgrand,15,1,15,1799,70.589529001154,1,18,0,5,9.180074994219467e-05,baseline_fail
C,1,2.0,baseline,7,1,7,2499,56.578893010737374,0,24,1,-1,,baseline_fail
C,1,2.0,nsgrand,7,1,7,1799,70.36475799395703,1,18,1,5,0.0018763408297672868,baseline_fail
C,1,2.0,baseline,4,1,4,2499,59.391593997133896,0,24,0,-1,,baseline_fail
C,1,2.0,nsgrand,4,0,0,74,12.720384984277189,0,18,1,4,0.8578923940658569,ai
C,1,2.0,baseline,13,1,13,2499,57.626452995464206,0,24,0,-1,,baseline_fail
C,1,2.0,nsgrand,13,1,13,1799,71.55626901658252,1,18,0,5,0.00044188598985783756,baseline_fail
