profile,profile_id,snr_db,decoder,true_error_weight,block_error,bit_errors,queries,elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,stage
C,1,-4.0,baseline,17,1,17,2499,87.85241501755081,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,17,1,17,1799,201.25350999296643,1,18,0,5,6.335358921205625e-05,baseline_fail
C,1,-4.0,baseline,24,1,24,2499,56.53416199493222,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,24,1,24,1799,73.99681000970304,1,18,0,5,3.0515584512613714e-05,baseline_fail
C,1,-4.0,baseline,22,1,22,2499,56.838902994059026,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,22,1,22,1799,70.9646189934574,1,18,0,5,3.851445944746956e-05,baseline_fail
C,1,-4.0,baseline,22,1,22,2499,58.49063300411217,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,22,1,22,1799,70.84734900854528,1,18,0,5,4.402745980769396e-05,baseline_fail
C,1,-4.0,baseline,37,1,37,2499,56.333312997594476,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,37,1,37,1799,73.09845901909284,1,18,0,5,3.25132641592063e-05,baseline_fail
C,1,-4.0,baseline,24,1,24,2499,59.45297400467098,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,24,1,24,1799,71.44820899702609,1,18,0,5,3.953722261940129e-05,baseline_fail
C,1,-4.0,baseline,22,1,22,2499,56.72227300237864,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,22,1,22,1799,74.32715999311768,1,18,0,5,4.5393622713163495e-05,baseline_fail
C,1,-4.0,baseline,25,1,25,2499,55.73635300970636,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,25,1,25,1799,70.79630802036263,1,18,0,5,4.99273810419254e-05,baseline_fail
C,1,-4.0,baseline,28,1,28,2499,55.5329030030407,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,28,1,28,1799,72.6071689859964,1,18,0,5,4.1390976548427716e-05,baseline_fail
C,1,-4.0,baseline,23,1,23,2499,55.788932979339734,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,23,1,23,1799,73.58912899508141,1,18,0,5,4.135803101235069e-05,baseline_fail
C,1,-4.0,baseline,19,1,19,2499,56.65611301083118,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,19,1,19,1799,70.68827899638563,1,18,0,5,4.505108154262416e-05,baseline_fail
C,1,-4.0,baseline,29,1,29,2499,56.8737430148758,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,29,1,29,1799,73.17555899498984,1,18,0,5,3.282233592472039e-05,baseline_fail
C,1,-4.0,baseline,22,1,22,2499,57.22900299588218,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,22,1,22,1799,71.04649799293838,1,18,0,5,4.107593122171238e-05,baseline_fail
C,1,-4.0,baseline,18,1,18,2499,58.456433995161206,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,18,1,18,1799,72.02663901261985,1,18,0,5,7.145020936150104e-05,baseline_fail
C,1,-4.0,baseline,24,1,24,2499,55.79337201197632,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,24,1,24,1799,71.29628901020624,1,18,0,5,4.7527886636089534e-05,baseline_fail
C,1,-4.0,baseline,24,1,24,2499,59.43099400610663,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,24,1,24,1799,72.77174000046216,1,18,0,5,3.5638811823446304e-05,baseline_fail
C,1,-4.0,baseline,24,1,24,2499,57.47021298157051,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,24,1,24,1799,75.06229999125935,1,18,0,5,4.842985435971059e-05,baseline_fail
C,1,-4.0,baseline,26,1,26,2499,56.577782990643755,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,26,1,26,1799,72.48830900061876,1,18,0,5,3.584475052775815e-05,baseline_fail
C,1,-4.0,baseline,26,1,26,2499,56.530183006543666,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,26,1,26,1799,74.2091599968262,1,18,0,5,6.529355596285313e-05,baseline_fail
C,1,-4.0,baseline,26,1,26,2499,55.87673300760798,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,26,1,26,1799,71.24442799249664,1,18,0,5,3.746020229300484e-05,baseline_fail
C,1,-4.0,baseline,26,1,26,2499,56.30056301015429,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,26,1,26,1799,71.6051489871461,1,18,0,5,3.913408727385104e-05,baseline_fail
C,1,-4.0,baseline,23,1,23,2499,55.33314199419692,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,23,1,23,1799,71.9804689870216,1,18,0,5,3.901183299603872e-05,baseline_fail
C,1,-4.0,baseline,27,1,27,2499,57.01776299974881,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,27,1,27,1799,72.91234898730181,1,18,0,5,3.556890078471042e-05,baseline_fail
C,1,-4.0,baseline,25,1,25,2499,55.5715819937177,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,25,1,25,1799,71.38304901309311,1,18,0,5,5.239042729954235e-05,baseline_fail
C,1,-4.0,baseline,22,1,22,2499,57.12035301257856,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,22,1,22,1799,70.34344898420386,1,18,0,5,4.4907046685693786e-05,baseline_fail
C,1,-4.0,baseline,31,1,31,2499,56.98673299048096,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,31,1,31,1799,75.5834000010509,1,18,0,5,4.683338920585811e-05,baseline_fail
C,1,-4.0,baseline,27,1,27,2499,57.42315298994072,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,27,1,27,1799,71.59492900245823,1,18,0,5,3.696639396366663e-05,baseline_fail
C,1,-4.0,baseline,21,1,21,2499,56.29767299978994,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,21,1,21,1799,72.90614899829961,1,18,0,5,5.465959839057177e-05,baseline_fail
C,1,-4.0,baseline,20,1,20,2499,55.294843012234196,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,20,1,20,1799,70.31746799475513,1,18,0,5,4.84964984934777e-05,baseline_fail
C,1,-4.0,baseline,30,1,30,2499,55.22802198538557,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,30,1,30,1799,73.46576900454238,1,18,0,5,4.8335041356040165e-05,baseline_fail
C,1,-4.0,baseline,30,1,30,2499,55.05465198075399,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,30,1,30,1799,71.43904900294729,1,18,0,5,3.439647480263375e-05,baseline_fail
C,1,-4.0,baseline,30,1,30,2499,55.898462975164875,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,30,1,30,1799,71.45804900210351,1,18,0,5,4.012758654425852e-05,baseline_fail
C,1,-4.0,baseline,28,1,28,2499,55.77472201548517,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,28,1,28,1799,70.92294900212437,1,18,0,5,3.370966442162171e-05,baseline_fail
C,1,-4.0,baseline,31,1,31,2499,58.06653297622688,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,31,1,31,1799,71.05034901178442,1,18,0,5,3.409965938772075e-05,baseline_fail
C,1,-4.0,baseline,24,1,24,2499,55.296751990681514,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,24,1,24,1799,71.90130901290104,1,18,0,5,4.05512037104927e-05,baseline_fail
C,1,-4.0,baseline,19,1,19,2499,54.719312000088394,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,19,1,19,1799,69.13293799152598,1,18,0,5,4.295977487345226e-05,baseline_fail
C,1,-4.0,baseline,24,1,24,2499,55.42474298272282,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,24,1,24,1799,72.4178189993836,1,18,0,5,5.4946616728557274e-05,baseline_fail
C,1,-4.0,baseline,19,1,19,2499,55.5160719959531,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,19,1,19,1799,70.51111900364049,1,18,0,5,3.773020580410957e-05,baseline_fail
C,1,-4.0,baseline,21,1,21,2499,55.756802001269534,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,21,1,21,1799,70.88468901929446,1,18,0,5,5.343662269297056e-05,baseline_fail
C,1,-4.0,baseline,28,1,28,2499,55.75041298288852,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,28,1,28,1799,69.30832701618783,1,18,0,5,4.163627090747468e-05,baseline_fail
C,1,-4.0,baseline,24,1,24,2499,55.7865229784511,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,24,1,24,1799,69.15021801250987,1,18,0,5,4.466280006454326e-05,baseline_fail
C,1,-4.0,baseline,33,1,33,2499,55.01279199961573,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,33,1,33,1799,71.70624900027178,1,18,0,5,3.874943286064081e-05,baseline_fail
C,1,-4.0,baseline,24,1,24,2499,56.74962300690822,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,24,1,24,1799,69.74027800606564,1,18,0,5,2.864585621864535e-05,baseline_fail
C,1,-4.0,baseline,35,1,35,2499,55.285401991568506,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,35,1,35,1799,69.53533799969591,1,18,0,5,2.937500539701432e-05,baseline_fail
C,1,-4.0,baseline,28,1,28,2499,54.40235199057497,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,28,1,28,1799,69.91330799064599,1,18,0,5,3.6905246815877035e-05,baseline_fail
C,1,-4.0,baseline,24,1,24,2499,57.63530300464481,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,24,1,24,1799,69.95727799949236,1,18,0,5,5.731999408453703e-05,baseline_fail
C,1,-4.0,baseline,36,1,36,2499,55.14879201655276,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,36,1,36,1799,70.82794900634326,1,18,0,5,4.265177994966507e-05,baseline_fail
C,1,-4.0,baseline,24,1,24,2499,54.14782199659385,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,24,1,24,1799,69.22589798341505,1,18,0,5,3.9372160244965926e-05,baseline_fail
C,1,-4.0,baseline,25,1,25,2499,55.646352004259825,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,25,1,25,1799,71.46621900028549,1,18,0,5,4.106747292098589e-05,baseline_fail
C,1,-4.0,baseline,22,1,22,2499,55.07303198100999,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,22,1,22,1799,69.47519798995927,1,18,0,5,4.605447611538693e-05,baseline_fail
C,1,-4.0,baseline,26,1,26,2499,55.998402007389814,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,26,1,26,1799,69.83843797934242,1,18,0,5,4.1476399928797036e-05,baseline_fail
C,1,-4.0,baseline,29,1,29,2499,54.408691998105496,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,29,1,29,1799,69.60309797432274,1,18,0,5,4.7637877287343144e-05,baseline_fail
C,1,-4.0,baseline,22,1,22,2499,58.45589400269091,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,22,1,22,1799,70.54718802100979,1,18,0,5,3.5300628951517865e-05,baseline_fail
C,1,-4.0,baseline,26,1,26,2499,55.0225320039317,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,26,1,26,1799,71.98000900098123,1,18,0,5,3.841432408080436e-05,baseline_fail
C,1,-4.0,baseline,30,1,30,2499,54.662162001477554,0,24,0,-1,,baseline_fail
C,1,-4.0,nsgrand,30,1,30,1799,68.80849797744304,1,18,0,5,3.5990975447930396e-05,baseline_fail
C,1,-4.0,baseline,30,1,30,2499,55.62290200032294,0,24,0,-1,,baseline_fail
