profile,profile_id,snr_db,decoder,true_error_weight,block_error,bit_errors,queries,elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,stage
E,2,2.0,baseline,1,0,0,6,40.456275979522616,0,24,1,-1,,baseline
E,2,2.0,nsgrand,1,0,0,1,149.12513000308536,0,18,1,1,0.9983793497085571,ai
E,2,2.0,baseline,6,1,6,2499,56.87671198393218,0,24,0,-1,,baseline_fail
E,2,2.0,nsgrand,6,1,6,1799,70.72470898856409,1,18,1,5,0.0070495386607944965,baseline_fail
E,2,2.0,baseline,5,1,5,2499,56.6902729915455,0,24,1,-1,,baseline_fail
E,2,2.0,nsgrand,5,1,5,1799,70.28287797584198,1,18,1,5,0.3401696979999542,baseline_fail
E,2,2.0,baseline,2,0,0,4,32.71277298335917,0,24,1,-1,,baseline
E,2,2.0,nsgrand,2,0,0,1,1.827841013437137,0,18,1,2,0.9993594288825989,ai
E,2,2.0,baseline,7,1,7,2499,56.07917299494147,0,24,1,-1,,baseline_fail
E,2,2.0,nsgrand,7,1,7,1799,71.20084800408222,1,18,1,5,0.0007674101507291198,baseline_fail
E,2,2.0,baseline,4,0,0,2068,52.884261996950954,0,24,1,-1,,baseline
E,2,2.0,nsgrand,4,0,0,20,11.530574003700167,0,18,1,4,0.8906477093696594,ai
E,2,2.0,baseline,2,0,0,61,34.334203985054046,0,24,1,-1,,baseline
E,2,2.0,nsgrand,2,0,0,1,1.697250991128385,0,18,1,2,0.9991219639778137,ai
E,2,2.0,baseline,10,1,10,2499,57.794702996034175,0,24,0,-1,,baseline_fail
E,2,2.0,nsgrand,10,1,10,1799,70.63732898677699,1,18,0,5,0.001117584528401494,baseline_fail
E,2,2.0,baseline,5,1,5,2499,56.77583298529498,0,24,0,-1,,baseline_fail
E,2,2.0,nsgrand,5,1,5,1200,20.32667800085619,0,18,1,5,0.3519304394721985,ai_fail
E,2,2.0,baseline,8,1,8,2499,57.539672998245806,0,24,1,-1,,baseline_fail
E,2,2.0,nsgrand,8,1,8,1799,70.81031901179813,1,18,1,5,0.001566353254020214,baseline_fail
E,2,2.0,baseline,4,1,4,2499,56.380193011136726,0,24,1,-1,,baseline_fail
E,2,2.0,nsgrand,4,0,0,1,9.027302992762998,0,18,1,5,0.27835574746131897,ai
E,2,2.0,baseline,6,1,6,2499,55.522912996821105,0,24,1,-1,,baseline_fail
E,2,2.0,nsgrand,6,1,6,1799,70.23717800620943,1,18,1,5,0.007371800485998392,baseline_fail
E,2,2.0,baseline,2,0,0,16,33.57893298380077,0,24,1,-1,,baseline
E,2,2.0,nsgrand,2,0,0,1,3.8924110122025013,0,18,1,2,0.9964404702186584,ai
E,2,2.0,baseline,6,1,6,2499,55.270671990001574,0,24,1,-1,,baseline_fail
E,2,2.0,nsgrand,6,1,6,1799,69.93503798730671,1,18,1,5,0.01895780675113201,baseline_fail
E,2,2.0,baseline,5,1,5,2499,58.474862977163866,0,24,1,-1,,baseline_fail
E,2,2.0,nsgrand,5,1,5,1799,69.7362479986623,1,18,1,5,0.04911016672849655,baseline_fail
E,2,2.0,baseline,10,1,10,2499,55.3564130095765,0,24,0,-1,,baseline_fail
E,2,2.0,nsgrand,10,1,10,1799,69.70271799946204,1,18,1,5,0.0005019946838729084,baseline_fail
E,2,2.0,baseline,2,0,0,23,33.165023021865636,0,24,1,-1,,baseline
E,2,2.0,nsgrand,2,0,0,1,1.9102410005871207,0,18,1,2,0.9991620779037476,ai
E,2,2.0,baseline,9,1,9,2499,55.583762004971504,0,24,0,-1,,baseline_fail
E,2,2.0,nsgrand,9,1,9,1799,69.69915798981674,1,18,0,5,0.01151849702000618,baseline_fail
E,2,2.0,baseline,4,0,0,2216,53.31657198257744,0,24,1,-1,,baseline
E,2,2.0,nsgrand,4,0,0,5,11.307965003652498,0,18,1,4,0.9484363198280334,ai
E,2,2.0,baseline,5,1,5,2499,57.55495300400071,0,24,0,-1,,baseline_fail
E,2,2.0,nsgrand,5,1,5,1799,69.79614798910916,1,18,1,5,0.269359290599823,baseline_fail
E,2,2.0,baseline,3,0,0,397,36.514934996375814,0,24,1,-1,,baseline
E,2,2.0,nsgrand,3,0,0,1,3.452851000474766,0,18,1,3,0.9955333471298218,ai
