decoder,true_error_weight,block_error_rate,avg_queries,avg_elapsed_ms
baseline,0,0.0,0.0,0.012054453101054182
baseline,1,0.011993146773272416,35.5202741290691,33.61517952692331
baseline,2,0.0527086383601757,172.6822840409956,34.73118420349489
baseline,3,0.13296903460837886,606.7304189435337,38.899687482599674
baseline,4,0.49007314524555906,1678.1013584117031,48.37219902371906
baseline,5,1.0,2489.232026143791,55.708348662425074
baseline,6,1.0,2494.557856272838,55.74874326065052
baseline,7,1.0,2499.0,56.44207338774163
baseline,8,1.0,2499.0,55.96544103260942
baseline,9,1.0,2499.0,56.253561704972846
baseline,10,1.0,2499.0,55.85790150691168
baseline,11,1.0,2499.0,56.250120774987835
baseline,12,1.0,2499.0,55.75105519397612
baseline,13,1.0,2499.0,55.45180229408681
baseline,14,1.0,2499.0,55.47638028641415
baseline,15,1.0,2499.0,55.625892377903504
baseline,16,1.0,2499.0,55.3674991936719
baseline,17,1.0,2499.0,55.43036431995511
baseline,18,1.0,2499.0,55.66947278164672
baseline,19,1.0,2499.0,55.23953915458564
baseline,20,1.0,2499.0,55.71844292842828
baseline,21,1.0,2499.0,55.25211269832653
baseline,22,1.0,2499.0,55.43919631273777
baseline,23,1.0,2499.0,55.131130856686354
baseline,24,1.0,2499.0,55.14517777949919
baseline,25,1.0,2499.0,55.178937014444216
baseline,26,1.0,2499.0,55.62786271851413
baseline,27,1.0,2499.0,55.27417216217145
baseline,28,1.0,2499.0,55.19221457161491
baseline,29,1.0,2499.0,55.36195482872835
baseline,30,1.0,2499.0,54.97260324403806
baseline,31,1.0,2499.0,56.658832809802874
baseline,32,1.0,2499.0,55.23791353269998
baseline,33,1.0,2499.0,54.75497039151378
baseline,34,1.0,2499.0,54.95927642041352
baseline,35,1.0,2499.0,55.10965042049065
baseline,36,1.0,2499.0,55.2904958371073
baseline,37,1.0,2499.0,56.36404549618924
baseline,38,1.0,2499.0,54.83327821587279
baseline,39,1.0,2499.0,56.71813800498577
baseline,40,1.0,2499.0,54.22234266976981
baseline,41,1.0,2499.0,55.23098424600903
baseline,42,1.0,2499.0,60.79369899816811
baseline,43,1.0,2499.0,54.126276503666304
nsgrand,0,0.0,0.0,0.009768094572060428
nsgrand,1,0.001142204454597373,1.1758994860079954,1.6408558888520421
nsgrand,2,0.03513909224011713,12.38506588579795,2.176513639082696
nsgrand,3,0.06648451730418943,24.06375227686703,6.279385542483892
nsgrand,4,0.08463949843260188,59.391849529780565,9.979335497894452
nsgrand,5,1.0,1599.9117647058824,56.998814172640266
nsgrand,6,1.0,1747.6285018270403,67.48844593455368
nsgrand,7,1.0,1785.4806701030927,70.03482060170745
nsgrand,8,1.0,1798.1178203240058,70.5693121958354
nsgrand,9,1.0,1799.0,70.83195439792595
nsgrand,10,1.0,1799.0,70.60548916342668
nsgrand,11,1.0,1799.0,70.49589402572256
nsgrand,12,1.0,1799.0,70.12850155148082
nsgrand,13,1.0,1799.0,69.64405647384487
nsgrand,14,1.0,1799.0,70.15825569317101
nsgrand,15,1.0,1799.0,69.94536528215623
nsgrand,16,1.0,1799.0,69.77284382583568
nsgrand,17,1.0,1799.0,69.705422290278
nsgrand,18,1.0,1799.0,69.32447117244787
nsgrand,19,1.0,1799.0,69.54350384192807
nsgrand,20,1.0,1799.0,68.95610664155618
nsgrand,21,1.0,1799.0,69.2621443248451
nsgrand,22,1.0,1799.0,69.83897879983465
nsgrand,23,1.0,1799.0,69.78570657912339
nsgrand,24,1.0,1799.0,69.25136846551611
nsgrand,25,1.0,1799.0,70.50060375277269
nsgrand,26,1.0,1799.0,69.25506857010078
nsgrand,27,1.0,1799.0,69.22146696975109
nsgrand,28,1.0,1799.0,69.13399296874223
nsgrand,29,1.0,1799.0,69.42343343434275
nsgrand,30,1.0,1799.0,69.14121334157052
nsgrand,31,1.0,1799.0,69.51737117609859
nsgrand,32,1.0,1799.0,69.22710167903763
nsgrand,33,1.0,1799.0,70.96263202313311
nsgrand,34,1.0,1799.0,68.8910172804026
nsgrand,35,1.0,1799.0,69.58471761698512
nsgrand,36,1.0,1799.0,70.23032180053026
nsgrand,37,1.0,1799.0,70.41498716636043
nsgrand,38,1.0,1799.0,69.2719277139986
nsgrand,39,1.0,1799.0,71.83176228344175
nsgrand,40,1.0,1799.0,67.65019683613598
nsgrand,41,1.0,1799.0,70.8238356273796
nsgrand,42,1.0,1799.0,70.82791399443522
nsgrand,43,1.0,1799.0,68.51147700217552
