profile,profile_id,snr_db,decoder,num_samples,bler,ber,avg_queries,median_queries,p95_queries,p99_queries,avg_elapsed_ms,fallback_rate,oracle_pool_hit_rate
A,0,-2.0,baseline,250,0.976,0.1359375,780.872,799.0,799.0,799.0,14.429496395983733,0.0,0.068
A,0,-2.0,nsgrand,250,0.972,0.1350625,568.548,599.0,599.0,599.0,19.90428110404173,0.932,0.12449799196787148
A,0,0.0,baseline,250,0.876,0.08375,715.864,799.0,799.0,799.0,15.097763035271782,0.0,0.357429718875502
A,0,0.0,nsgrand,250,0.736,0.075375,421.104,599.0,599.0,599.0,16.425093348545488,0.656,0.5863453815261044
A,0,2.0,baseline,250,0.34,0.02475,319.916,111.0,799.0,799.0,11.478013591608033,0.0,0.84
A,0,2.0,nsgrand,250,0.216,0.0179375,106.508,7.0,599.0,599.0,6.467104836308863,0.12,0.9423868312757202
A,0,4.0,baseline,250,0.044,0.0038125,48.044,2.0,293.5499999999996,799.0,6.725296728196554,0.0,0.98
A,0,4.0,nsgrand,250,0.032,0.0030625,14.196,1.0,15.549999999999983,501.4899999999982,2.372979960171506,0.012,0.9817073170731707
C,1,-2.0,baseline,250,0.992,0.13775,795.092,799.0,799.0,799.0,14.548505276092328,0.0,0.068
C,1,-2.0,nsgrand,250,0.968,0.1361875,578.54,599.0,599.0,599.0,20.182622400054242,0.96,0.176
C,1,0.0,baseline,250,0.824,0.0785,687.132,799.0,799.0,799.0,14.848696928063873,0.0,0.436
C,1,0.0,nsgrand,250,0.688,0.0703125,391.836,599.0,599.0,599.0,13.897778647427913,0.596,0.6465863453815262
C,1,2.0,baseline,250,0.336,0.0274375,356.444,179.5,799.0,799.0,13.472619675740134,0.0,0.84
C,1,2.0,nsgrand,250,0.256,0.02275,128.348,8.0,599.0,599.0,7.523543375893496,0.148,0.9446808510638298
C,1,4.0,baseline,250,0.084,0.0064375,77.76,2.0,799.0,799.0,7.376398711814545,0.0,0.972
C,1,4.0,nsgrand,250,0.076,0.0063125,36.58,1.0,400.0,599.0,2.884013784583658,0.04,0.994413407821229
