profile,profile_id,snr_db,decoder,true_error_weight,block_error,bit_errors,queries,elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,stage
A,0,2.0,baseline,5,1,5,799,16.173202995560132,0,18,1,-1,,baseline_fail
A,0,2.0,nsgrand,5,1,5,599,22.582801000680774,1,14,1,5,0.3990093469619751,baseline_fail
A,0,2.0,baseline,1,0,0,4,9.764005008037202,0,18,1,-1,,baseline
A,0,2.0,nsgrand,1,0,0,1,5.18474199634511,0,14,1,1,0.9077232480049133,ai
A,0,2.0,baseline,4,0,0,432,12.614735998795368,0,18,1,-1,,baseline
A,0,2.0,nsgrand,4,0,0,23,5.18857198767364,0,14,1,5,0.70213383436203,ai
A,0,2.0,baseline,3,0,0,130,10.1273040054366,0,18,1,-1,,baseline
A,0,2.0,nsgrand,3,0,0,8,4.225065000355244,0,14,1,5,0.7090232968330383,ai
A,0,2.0,baseline,5,1,5,799,14.44867999816779,0,18,1,-1,,baseline_fail
A,0,2.0,nsgrand,5,1,5,400,7.074316003127024,0,14,1,5,0.48757806420326233,ai_fail
A,0,2.0,baseline,2,0,0,24,9.76435600023251,0,18,1,-1,,baseline
A,0,2.0,nsgrand,2,0,0,8,4.737433002446778,0,14,1,3,0.7877699732780457,ai
A,0,2.0,baseline,2,0,0,59,9.569746995111927,0,18,1,-1,,baseline
A,0,2.0,nsgrand,2,0,0,5,4.1581149998819456,0,14,1,1,0.8744210600852966,ai
A,0,2.0,baseline,4,0,0,755,13.73126199177932,0,18,1,-1,,baseline
A,0,2.0,nsgrand,4,0,0,15,4.113505012355745,0,14,1,5,0.5359659194946289,ai
A,0,2.0,baseline,2,0,0,35,9.341576995211653,0,18,1,-1,,baseline
A,0,2.0,nsgrand,2,0,0,3,4.308435003622435,0,14,1,1,0.8886698484420776,ai
A,0,2.0,baseline,3,0,0,235,10.63843299925793,0,18,1,-1,,baseline
A,0,2.0,nsgrand,3,0,0,2,4.2708850087365136,0,14,1,5,0.3609309196472168,ai
A,0,2.0,baseline,6,1,6,799,14.253029992687516,0,18,0,-1,,baseline_fail
A,0,2.0,nsgrand,6,1,6,599,18.59390499885194,1,14,0,5,0.11748029291629791,baseline_fail
A,0,2.0,baseline,3,0,0,181,10.416173012345098,0,18,1,-1,,baseline
A,0,2.0,nsgrand,3,0,0,1,4.7164239949779585,0,14,1,5,0.5034303069114685,ai
A,0,2.0,baseline,2,0,0,11,9.761826004250906,0,18,1,-1,,baseline
A,0,2.0,nsgrand,2,0,0,6,4.758342998684384,0,14,1,2,0.8371572494506836,ai
A,0,2.0,baseline,5,1,5,799,14.05747099488508,0,18,1,-1,,baseline_fail
A,0,2.0,nsgrand,5,1,5,400,6.271567996009253,0,14,1,5,0.4507366716861725,ai_fail
A,0,2.0,baseline,3,1,3,799,14.218430005712435,0,18,0,-1,,baseline_fail
A,0,2.0,nsgrand,3,0,0,14,4.762173004564829,0,14,1,3,0.8326481580734253,ai
A,0,2.0,baseline,1,0,0,11,9.27105700247921,0,18,1,-1,,baseline
A,0,2.0,nsgrand,1,0,0,1,4.087075998540968,0,14,1,2,0.8881720900535583,ai
A,0,2.0,baseline,4,1,4,799,14.38383900676854,0,18,1,-1,,baseline_fail
A,0,2.0,nsgrand,4,0,0,21,5.057112008216791,0,14,1,5,0.6455582976341248,ai
A,0,2.0,baseline,2,0,0,9,9.60769600351341,0,18,1,-1,,baseline
A,0,2.0,nsgrand,2,0,0,5,4.702863996499218,0,14,1,2,0.8482710123062134,ai
A,0,2.0,baseline,1,0,0,1,9.23472800059244,0,18,1,-1,,baseline
A,0,2.0,nsgrand,1,0,0,1,4.45881400082726,0,14,1,1,0.9100801348686218,ai
A,0,2.0,baseline,2,0,0,149,10.576532993582077,0,18,1,-1,,baseline
A,0,2.0,nsgrand,2,0,0,1,5.305630998918787,0,14,1,3,0.7662724852561951,ai
A,0,2.0,baseline,1,0,0,14,10.799572002724744,0,18,1,-1,,baseline
A,0,2.0,nsgrand,1,0,0,1,3.0370989989023656,0,14,1,1,0.9519249200820923,ai
A,0,2.0,baseline,1,0,0,5,10.263994001434185,0,18,1,-1,,baseline
A,0,2.0,nsgrand,1,0,0,1,3.045928999199532,0,14,1,1,0.9365643262863159,ai
A,0,2.0,baseline,3,0,0,43,10.466842999449,0,18,1,-1,,baseline
A,0,2.0,nsgrand,3,0,0,7,5.132992009748705,0,14,1,3,0.7537890672683716,ai
A,0,2.0,baseline,2,0,0,11,9.991974002332427,0,18,1,-1,,baseline
A,0,2.0,nsgrand,2,0,0,3,5.228741996688768,0,14,1,1,0.8923812508583069,ai
A,0,2.0,baseline,3,0,0,143,11.04268099879846,0,18,1,-1,,baseline
A,0,2.0,nsgrand,3,0,0,7,4.9274830089416355,0,14,1,5,0.5840684771537781,ai
A,0,2.0,baseline,2,0,0,86,9.728065997478552,0,18,1,-1,,baseline
A,0,2.0,nsgrand,2,0,0,86,16.097423998871818,1,14,1,5,0.346315860748291,baseline
A,0,2.0,baseline,3,0,0,20,9.484445996349677,0,18,1,-1,,baseline
A,0,2.0,nsgrand,3,0,0,7,4.100966005353257,0,14,1,1,0.8946493268013,ai
A,0,2.0,baseline,3,0,0,565,13.47977199475281,0,18,1,-1,,baseline
A,0,2.0,nsgrand,3,0,0,4,4.909092996967956,0,14,1,5,0.4012758135795593,ai
A,0,2.0,baseline,4,1,4,799,14.659577995189466,0,18,1,-1,,baseline_fail
A,0,2.0,nsgrand,4,0,0,46,5.0292929954594,0,14,1,5,0.4365290701389313,ai
A,0,2.0,baseline,2,1,2,799,14.900527996360324,0,18,0,-1,,baseline_fail
A,0,2.0,nsgrand,2,0,0,4,5.197462000069208,0,14,1,3,0.7842352986335754,ai
A,0,2.0,baseline,4,0,0,280,11.555479999515228,0,18,1,-1,,baseline
A,0,2.0,nsgrand,4,0,0,45,5.4345509997801855,0,14,1,5,0.5577406883239746,ai
