decoder,true_error_weight,block_error_rate,avg_queries,avg_elapsed_ms
baseline,0,0.0,0.0,0.012035668475131416
baseline,1,0.023622047244094488,17.114173228346456,9.98341588967564
baseline,2,0.09090909090909091,96.05785123966942,11.568824876249433
baseline,3,0.24444444444444444,315.31111111111113,12.126387506141327
baseline,4,0.657608695652174,641.4402173913044,15.478319413254528
baseline,5,1.0,796.4347826086956,15.044955429323675
baseline,6,1.0,794.6438356164383,14.935989252392087
baseline,7,1.0,795.3492063492064,14.837057769736496
baseline,8,1.0,799.0,14.865594768847446
baseline,9,1.0,799.0,14.791016597882845
baseline,10,1.0,799.0,14.698796381381225
baseline,11,1.0,799.0,14.702482392963516
baseline,12,1.0,799.0,14.750291898216789
baseline,13,1.0,799.0,14.696138771383135
baseline,14,1.0,799.0,14.679791287302837
baseline,15,1.0,799.0,14.598806397407316
baseline,16,1.0,799.0,14.77679714194632
baseline,17,1.0,799.0,14.116342994384468
baseline,20,1.0,799.0,14.19266199809499
baseline,21,1.0,799.0,14.291956496890634
nsgrand,0,0.0,0.0,0.007036624354752793
nsgrand,1,0.011811023622047244,2.590551181102362,2.747503468433604
nsgrand,2,0.06198347107438017,14.53305785123967,4.555065363964493
nsgrand,3,0.12444444444444444,49.10666666666667,5.912632591466212
nsgrand,4,0.14130434782608695,98.2445652173913,5.841787385693549
nsgrand,5,1.0,523.429347826087,16.907541380572617
nsgrand,6,1.0,569.6164383561644,19.214997575072132
nsgrand,7,1.0,591.2380952380952,19.97200180215129
nsgrand,8,1.0,597.4692307692308,22.768621462343546
nsgrand,9,1.0,599.0,20.1267587932386
nsgrand,10,1.0,599.0,22.822551270018153
nsgrand,11,1.0,599.0,19.97106094095929
nsgrand,12,1.0,599.0,19.96732523175291
nsgrand,13,1.0,599.0,19.891944998975802
nsgrand,14,1.0,599.0,20.168200571788475
nsgrand,15,1.0,599.0,19.982037697627675
nsgrand,16,1.0,599.0,19.60881842699434
nsgrand,17,1.0,599.0,18.89608999772463
nsgrand,20,1.0,599.0,19.84316800371744
nsgrand,21,1.0,599.0,19.48496049590176
