profile,snr_db,overflow_bin,count,bler,fallback_rate,avg_queries
A,-4.0,"(-0.001, 0.1]",0,,,
A,-4.0,"(0.1, 0.2]",0,,,
A,-4.0,"(0.2, 0.3]",0,,,
A,-4.0,"(0.3, 0.4]",0,,,
A,-4.0,"(0.4, 0.5]",0,,,
A,-4.0,"(0.5, 0.6]",0,,,
A,-4.0,"(0.6, 0.7]",0,,,
A,-4.0,"(0.7, 0.8]",0,,,
A,-4.0,"(0.8, 0.9]",0,,,
A,-4.0,"(0.9, 1.0]",1200,1.0,1.0,3999.0
A,-2.0,"(-0.001, 0.1]",0,,,
A,-2.0,"(0.1, 0.2]",0,,,
A,-2.0,"(0.2, 0.3]",0,,,
A,-2.0,"(0.3, 0.4]",0,,,
A,-2.0,"(0.4, 0.5]",0,,,
A,-2.0,"(0.5, 0.6]",0,,,
A,-2.0,"(0.6, 0.7]",0,,,
A,-2.0,"(0.7, 0.8]",0,,,
A,-2.0,"(0.8, 0.9]",0,,,
A,-2.0,"(0.9, 1.0]",1200,1.0,1.0,3999.0
A,0.0,"(-0.001, 0.1]",3,0.0,0.0,5.333333333333333
A,0.0,"(0.1, 0.2]",3,0.0,0.0,15.333333333333334
A,0.0,"(0.2, 0.3]",0,,,
A,0.0,"(0.3, 0.4]",1,0.0,0.0,1.0
A,0.0,"(0.4, 0.5]",3,0.6666666666666666,0.3333333333333333,1378.3333333333333
A,0.0,"(0.5, 0.6]",1,1.0,1.0,3999.0
A,0.0,"(0.6, 0.7]",3,1.0,0.6666666666666666,2874.0
A,0.0,"(0.7, 0.8]",3,0.6666666666666666,1.0,3393.6666666666665
A,0.0,"(0.8, 0.9]",4,1.0,1.0,3999.0
A,0.0,"(0.9, 1.0]",1179,1.0,1.0,3999.0
A,2.0,"(-0.001, 0.1]",201,0.11940298507462686,0.0945273631840796,367.9651741293532
A,2.0,"(0.1, 0.2]",42,0.23809523809523808,0.2619047619047619,1119.857142857143
A,2.0,"(0.2, 0.3]",23,0.21739130434782608,0.08695652173913043,635.0
A,2.0,"(0.3, 0.4]",20,0.3,0.05,536.95
A,2.0,"(0.4, 0.5]",22,0.2727272727272727,0.09090909090909091,484.09090909090907
A,2.0,"(0.5, 0.6]",19,0.47368421052631576,0.3684210526315789,1993.842105263158
A,2.0,"(0.6, 0.7]",19,0.2631578947368421,0.2631578947368421,1491.6315789473683
A,2.0,"(0.7, 0.8]",21,0.9523809523809523,1.0,3883.4761904761904
A,2.0,"(0.8, 0.9]",34,0.8529411764705882,1.0,3825.470588235294
A,2.0,"(0.9, 1.0]",799,0.9924906132665833,1.0,3981.102628285357
A,4.0,"(-0.001, 0.1]",781,0.030729833546734954,0.040973111395646605,128.70934699103714
A,4.0,"(0.1, 0.2]",29,0.0,0.034482758620689655,164.6206896551724
A,4.0,"(0.2, 0.3]",22,0.045454545454545456,0.18181818181818182,593.2272727272727
A,4.0,"(0.3, 0.4]",15,0.2,0.2,1290.6
A,4.0,"(0.4, 0.5]",5,0.2,0.2,1280.6
A,4.0,"(0.5, 0.6]",12,0.3333333333333333,0.3333333333333333,2139.0
A,4.0,"(0.6, 0.7]",8,0.25,0.25,1645.75
A,4.0,"(0.7, 0.8]",11,0.5454545454545454,1.0,2794.090909090909
A,4.0,"(0.8, 0.9]",23,0.782608695652174,1.0,3442.6521739130435
A,4.0,"(0.9, 1.0]",294,0.9795918367346939,1.0,3973.8469387755104
A,6.0,"(-0.001, 0.1]",1006,0.002982107355864811,0.007952286282306162,12.247514910536779
A,6.0,"(0.1, 0.2]",10,0.0,0.1,513.9
A,6.0,"(0.2, 0.3]",5,0.0,0.2,715.2
A,6.0,"(0.3, 0.4]",4,0.0,0.0,1.0
A,6.0,"(0.4, 0.5]",2,0.0,0.0,37.0
A,6.0,"(0.5, 0.6]",1,0.0,0.0,6.0
A,6.0,"(0.6, 0.7]",4,0.25,0.25,1648.5
A,6.0,"(0.7, 0.8]",13,0.46153846153846156,1.0,2694.5384615384614
A,6.0,"(0.8, 0.9]",10,0.8,1.0,3690.2
A,6.0,"(0.9, 1.0]",145,0.9724137931034482,1.0,3926.613793103448
C,-4.0,"(-0.001, 0.1]",0,,,
C,-4.0,"(0.1, 0.2]",0,,,
C,-4.0,"(0.2, 0.3]",0,,,
C,-4.0,"(0.3, 0.4]",0,,,
C,-4.0,"(0.4, 0.5]",0,,,
C,-4.0,"(0.5, 0.6]",0,,,
C,-4.0,"(0.6, 0.7]",0,,,
C,-4.0,"(0.7, 0.8]",0,,,
C,-4.0,"(0.8, 0.9]",0,,,
C,-4.0,"(0.9, 1.0]",1200,1.0,1.0,3999.0
C,-2.0,"(-0.001, 0.1]",0,,,
C,-2.0,"(0.1, 0.2]",0,,,
C,-2.0,"(0.2, 0.3]",0,,,
C,-2.0,"(0.3, 0.4]",0,,,
C,-2.0,"(0.4, 0.5]",0,,,
C,-2.0,"(0.5, 0.6]",0,,,
C,-2.0,"(0.6, 0.7]",0,,,
C,-2.0,"(0.7, 0.8]",0,,,
C,-2.0,"(0.8, 0.9]",0,,,
C,-2.0,"(0.9, 1.0]",1200,1.0,1.0,3999.0
C,0.0,"(-0.001, 0.1]",0,,,
C,0.0,"(0.1, 0.2]",0,,,
C,0.0,"(0.2, 0.3]",1,1.0,0.0,11.0
C,0.0,"(0.3, 0.4]",1,1.0,1.0,3999.0
C,0.0,"(0.4, 0.5]",4,1.0,1.0,5199.0
C,0.0,"(0.5, 0.6]",2,0.5,0.5,2462.5
C,0.0,"(0.6, 0.7]",0,,,
C,0.0,"(0.7, 0.8]",1,1.0,1.0,3999.0
C,0.0,"(0.8, 0.9]",6,1.0,1.0,3999.0
C,0.0,"(0.9, 1.0]",1185,1.0,1.0,3999.0
C,2.0,"(-0.001, 0.1]",213,0.10328638497652583,0.056338028169014086,223.80281690140845
C,2.0,"(0.1, 0.2]",43,0.23255813953488372,0.20930232558139536,1085.093023255814
C,2.0,"(0.2, 0.3]",28,0.17857142857142858,0.17857142857142858,904.4642857142857
C,2.0,"(0.3, 0.4]",20,0.15,0.1,569.8
