stage,true_error_weight,count,bler,avg_queries,avg_elapsed_ms
ai,2,1,0.0,1.0,12.951545009855181
ai,3,4,0.0,11.75,12.097735256247688
ai,4,4,0.25,37.75,77.7183414902538
ai,5,1,1.0,624.0,96.17031601374038
fallback,4,1,0.0,2183.0,182.8958810074255
fallback_fail,3,2,1.0,3999.0,206.21683250647038
fallback_fail,4,4,1.0,3999.0,207.86117800162174
fallback_fail,5,15,1.0,3999.0,203.7134278662658
fallback_fail,6,36,1.0,3999.0,201.69616002951645
fallback_fail,7,51,1.0,3999.0,201.5031046466902
fallback_fail,8,74,1.0,3999.0,200.28459386132354
fallback_fail,9,106,1.0,3999.0,201.39770464447793
fallback_fail,10,121,1.0,3999.0,201.96738551310187
fallback_fail,11,122,1.0,3999.0,201.97348217083882
fallback_fail,12,118,1.0,3999.0,202.39204754983865
fallback_fail,13,100,1.0,3999.0,202.4931903000106
fallback_fail,14,94,1.0,3999.0,202.11974300160517
fallback_fail,15,88,1.0,3999.0,202.64976544355952
fallback_fail,16,56,1.0,3999.0,210.72470126715157
fallback_fail,17,52,1.0,3999.0,201.7776786160539
fallback_fail,18,37,1.0,3999.0,200.704456351043
fallback_fail,19,28,1.0,3999.0,202.4718339266006
fallback_fail,20,28,1.0,3999.0,202.56156489527453
fallback_fail,21,23,1.0,3999.0,200.87195556539962
fallback_fail,22,9,1.0,3999.0,200.0916822160232
fallback_fail,23,10,1.0,3999.0,199.28963410202414
fallback_fail,24,1,1.0,3999.0,189.89498598966748
fallback_fail,25,1,1.0,3999.0,188.99774202145636
fallback_fail,26,5,1.0,3999.0,200.33587819780223
fallback_fail,27,1,1.0,3999.0,192.84526302362792
fallback_fail,28,3,1.0,3999.0,192.22249033434005
fallback_fail,29,1,1.0,3999.0,200.07618897943757
fallback_fail,30,2,1.0,3999.0,207.47676900646184
fallback_fail,33,1,1.0,3999.0,195.96205599373206
