baseline_sample_id,baseline_profile,baseline_profile_id,baseline_snr_db,baseline_decoder,baseline_true_error_weight,baseline_decoder_success,baseline_block_error,baseline_bit_errors,baseline_queries,baseline_primary_queries,baseline_fallback_queries,baseline_elapsed_ms,baseline_primary_elapsed_ms,baseline_fallback_elapsed_ms,baseline_fallback_used,baseline_candidate_pool_size,baseline_oracle_pool_hit,baseline_predicted_weight_top,baseline_confidence_prob,baseline_predicted_overflow_prob,baseline_stage,baseline_gate_reason,baseline_search_mode,baseline_allowed_weights_json,baseline_top_segment_ids_json,baseline_pool_positions_top10_json,baseline_predicted_weight_distribution_json,baseline_primary_budget,baseline_primary_max_weight,baseline_fallback_budget,baseline_fallback_pool_size,baseline_fallback_max_weight,baseline_ai_success,baseline_fallback_success,baseline_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,baseline_better_block_error
0,A,0,0.0,baseline,16,0,1,16,2499,2499,0,97.31381697929464,97.31381697929464,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[53, 62, 9, 46, 51, 33, 32, 60, 16, 72]",[],0,0,0,0,0,0,0,0,0,A,0,0.0,nsgrand,16,0,1,16,3999,0,3999,654.6264390053693,0.0,232.94246901059523,1,0,-1,5,0.0007600149256177247,0.9998700618743896,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,0,A,0.0,16,1500,557.3126220260747,0,0,0
1,A,0,0.0,baseline,14,0,1,14,2499,2499,0,56.731646007392555,56.731646007392555,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[108, 15, 48, 60, 22, 39, 51, 36, 26, 50]",[],0,0,0,0,0,0,0,0,1,A,0,0.0,nsgrand,14,0,1,14,3999,0,3999,197.4178259843029,0.0,195.01681099063717,1,0,-1,5,0.0003894520050380379,0.999893307685852,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,1,A,0.0,14,1500,140.68617997691035,0,0,0
2,A,0,0.0,baseline,15,0,1,15,2499,2499,0,55.096327007049695,55.096327007049695,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[97, 67, 80, 102, 72, 65, 89, 15, 109, 113]",[],0,0,0,0,0,0,0,0,2,A,0,0.0,nsgrand,15,0,1,15,3999,0,3999,201.94387799710967,0.0,199.72354100900702,1,0,-1,5,0.00045191054232418537,0.9998733997344971,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,2,A,0.0,15,1500,146.84755099005997,0,0,0
3,A,0,0.0,baseline,19,0,1,19,2499,2499,0,55.39701599627733,55.39701599627733,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[81, 36, 64, 119, 110, 99, 68, 73, 77, 100]",[],0,0,0,0,0,0,0,0,3,A,0,0.0,nsgrand,19,0,1,19,3999,0,3999,200.19210802274756,0.0,198.3569999865722,1,0,-1,5,0.0004477125476114452,0.999890923500061,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,3,A,0.0,19,1500,144.79509202647023,0,0,0
4,A,0,0.0,baseline,13,0,1,13,2499,2499,0,56.14571098703891,56.14571098703891,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[43, 63, 17, 31, 3, 16, 89, 54, 56, 42]",[],0,0,0,0,0,0,0,0,4,A,0,0.0,nsgrand,13,0,1,13,3999,0,3999,201.82981799007393,0.0,199.82218102086335,1,0,-1,5,0.0011108673643320799,0.999834418296814,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,4,A,0.0,13,1500,145.68410700303502,0,0,0
5,A,0,0.0,baseline,17,0,1,17,2499,2499,0,55.42190501000732,55.42190501000732,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[114, 2, 18, 117, 67, 122, 24, 11, 82, 85]",[],0,0,0,0,0,0,0,0,5,A,0,0.0,nsgrand,17,0,1,17,3999,0,3999,201.39235100941733,0.0,199.66936198761687,1,0,-1,5,0.000725656165741384,0.9998594522476196,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,5,A,0.0,17,1500,145.97044599941,0,0,0
6,A,0,0.0,baseline,11,0,1,11,2499,2499,0,55.612124007893726,55.612124007893726,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[36, 63, 120, 89, 86, 57, 37, 99, 69, 68]",[],0,0,0,0,0,0,0,0,6,A,0,0.0,nsgrand,11,0,1,11,3999,0,3999,205.74902300722897,0.0,203.6989970074501,1,0,-1,5,0.0007925319368951023,0.9998210072517395,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,6,A,0.0,11,1500,150.13689899933524,0,0,0
7,A,0,0.0,baseline,11,0,1,11,2499,2499,0,59.9405360117089,59.9405360117089,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[39, 120, 105, 28, 59, 77, 85, 81, 75, 125]",[],0,0,0,0,0,0,0,0,7,A,0,0.0,nsgrand,11,0,1,11,3999,0,3999,210.43620200362056,0.0,208.4005359793082,1,0,-1,5,0.0009751232573762536,0.9997987151145935,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,7,A,0.0,11,1500,150.49566599191166,0,0,0
8,A,0,0.0,baseline,15,0,1,15,2499,2499,0,58.18569799885154,58.18569799885154,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[110, 5, 74, 77, 35, 117, 112, 47, 103, 91]",[],0,0,0,0,0,0,0,0,8,A,0,0.0,nsgrand,15,0,1,15,3999,0,3999,200.04845899529755,0.0,198.29168100841343,1,0,-1,5,0.000787500524893403,0.9998480081558228,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,8,A,0.0,15,1500,141.862760996446,0,0,0
9,A,0,0.0,baseline,12,0,1,12,2499,2499,0,55.63761401572265,55.63761401572265,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[66, 45, 124, 14, 24, 61, 11, 30, 22, 4]",[],0,0,0,0,0,0,0,0,9,A,0,0.0,nsgrand,12,0,1,12,3999,0,3999,194.73103299969807,0.0,192.96499498886988,1,0,-1,5,0.0004157435614615679,0.9998979568481445,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,9,A,0.0,12,1500,139.09341898397543,0,0,0
