sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
0,A,0,-2.0,baseline,20,0,1,20,2499,2499,0,99.30917498422787,99.30917498422787,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[65, 54, 79, 44, 91, 126, 67, 78, 77, 2]",[],0,0,0,0,0,0,0,0
0,A,0,-2.0,nsgrand,20,0,1,20,3999,0,3999,643.3906510064844,0.0,223.68718800134957,1,0,-1,5,0.00018823376740328968,0.9998854398727417,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
1,A,0,-2.0,baseline,22,0,1,22,2499,2499,0,56.79253698326647,56.79253698326647,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[45, 113, 10, 15, 114, 57, 50, 115, 49, 73]",[],0,0,0,0,0,0,0,0
1,A,0,-2.0,nsgrand,22,0,1,22,3999,0,3999,196.48590200813487,0.0,194.70050299423747,1,0,-1,5,0.00019154706387780607,0.9998996257781982,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
2,A,0,-2.0,baseline,21,0,1,21,2499,2499,0,54.82251898502,54.82251898502,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[47, 62, 103, 5, 51, 111, 82, 55, 77, 81]",[],0,0,0,0,0,0,0,0
2,A,0,-2.0,nsgrand,21,0,1,21,3999,0,3999,195.17143999109976,0.0,192.92828399920836,1,0,-1,5,0.00023590447381138802,0.9998477697372437,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
3,A,0,-2.0,baseline,17,0,1,17,2499,2499,0,55.35059599787928,55.35059599787928,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[0, 37, 14, 24, 90, 121, 105, 89, 83, 75]",[],0,0,0,0,0,0,0,0
3,A,0,-2.0,nsgrand,17,0,1,17,3999,0,3999,190.27838198235258,0.0,188.14210500568151,1,0,-1,5,0.00017996020324062556,0.9998892545700073,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
4,A,0,-2.0,baseline,20,0,1,20,2499,2499,0,55.77754299156368,55.77754299156368,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[42, 4, 13, 7, 9, 52, 121, 40, 60, 17]",[],0,0,0,0,0,0,0,0
4,A,0,-2.0,nsgrand,20,0,1,20,3999,0,3999,191.49324399768375,0.0,189.42712698481046,1,0,-1,5,0.0001794405106920749,0.9998903274536133,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
5,A,0,-2.0,baseline,20,0,1,20,2499,2499,0,56.392547994619235,56.392547994619235,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[31, 13, 15, 43, 32, 52, 126, 11, 125, 30]",[],0,0,0,0,0,0,0,0
5,A,0,-2.0,nsgrand,20,0,1,20,3999,0,3999,191.92406098591164,0.0,189.72646500333212,1,0,-1,5,0.00019036231969948858,0.9998880624771118,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
6,A,0,-2.0,baseline,21,0,1,21,2499,2499,0,56.80419600685127,56.80419600685127,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[126, 4, 83, 115, 118, 2, 70, 111, 9, 113]",[],0,0,0,0,0,0,0,0
6,A,0,-2.0,nsgrand,21,0,1,21,3999,0,3999,194.80267298058607,0.0,192.8212660131976,1,0,-1,5,0.00020073259656783193,0.9998916387557983,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
7,A,0,-2.0,baseline,25,0,1,25,2499,2499,0,58.38995598605834,58.38995598605834,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[40, 56, 48, 43, 51, 15, 121, 21, 99, 38]",[],0,0,0,0,0,0,0,0
7,A,0,-2.0,nsgrand,25,0,1,25,3999,0,3999,203.12056900002062,0.0,200.8305939962156,1,0,-1,5,0.00017218152061104774,0.999900221824646,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
8,A,0,-2.0,baseline,17,0,1,17,2499,2499,0,60.00742601463571,60.00742601463571,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[66, 119, 86, 84, 112, 68, 80, 67, 65, 89]",[],0,0,0,0,0,0,0,0
8,A,0,-2.0,nsgrand,17,0,1,17,3999,0,3999,197.30418699327856,0.0,195.28997997986153,1,0,-1,5,0.00018673250451683998,0.9998601675033569,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
9,A,0,-2.0,baseline,14,0,1,14,2499,2499,0,57.63651101733558,57.63651101733558,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[125, 127, 111, 20, 75, 67, 58, 123, 121, 100]",[],0,0,0,0,0,0,0,0
9,A,0,-2.0,nsgrand,14,0,1,14,3999,0,3999,191.22356598381884,0.0,189.0191699785646,1,0,-1,5,0.0002869413292501122,0.9998899698257446,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
10,A,0,-2.0,baseline,11,0,1,11,2499,2499,0,56.80133600253612,56.80133600253612,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[40, 99, 61, 92, 59, 39, 15, 31, 113, 34]",[],0,0,0,0,0,0,0,0
10,A,0,-2.0,nsgrand,11,0,1,11,3999,0,3999,189.40076799481176,0.0,187.4427199945785,1,0,-1,5,0.00021759855735581368,0.9998476505279541,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
11,A,0,-2.0,baseline,19,0,1,19,2499,2499,0,57.40660201990977,57.40660201990977,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[101, 117, 85, 80, 66, 72, 2, 99, 65, 92]",[],0,0,0,0,0,0,0,0
11,A,0,-2.0,nsgrand,19,0,1,19,3999,0,3999,194.27345599979162,0.0,191.97085101041012,1,0,-1,5,0.00023067886650096625,0.9998552799224854,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
12,A,0,-2.0,baseline,18,0,1,18,2499,2499,0,56.96775499382056,56.96775499382056,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[67, 3, 116, 68, 80, 31, 110, 69, 17, 77]",[],0,0,0,0,0,0,0,0
12,A,0,-2.0,nsgrand,18,0,1,18,3999,0,3999,199.37989400932565,0.0,197.3879559955094,1,0,-1,5,0.00028854538686573505,0.9998421669006348,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
13,A,0,-2.0,baseline,22,0,1,22,2499,2499,0,56.039832008536905,56.039832008536905,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[109, 10, 118, 42, 81, 69, 39, 7, 87, 95]",[],0,0,0,0,0,0,0,0
13,A,0,-2.0,nsgrand,22,0,1,22,3999,0,3999,193.19648298551328,0.0,191.1846559960395,1,0,-1,5,0.00015791089390404522,0.99988853931427,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
14,A,0,-2.0,baseline,17,0,1,17,2499,2499,0,56.206231005489826,56.206231005489826,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[38, 51, 121, 67, 106, 37, 77, 86, 46, 42]",[],0,0,0,0,0,0,0,0
14,A,0,-2.0,nsgrand,17,0,1,17,3999,0,3999,193.02414398407564,0.0,191.0450659925118,1,0,-1,5,0.00021368736634030938,0.9998855590820312,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
15,A,0,-2.0,baseline,26,0,1,26,2499,2499,0,55.24311598856002,55.24311598856002,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[43, 44, 109, 52, 122, 35, 115, 19, 10, 53]",[],0,0,0,0,0,0,0,0
15,A,0,-2.0,nsgrand,26,0,1,26,3999,0,3999,194.68673400115222,0.0,192.72336599533446,1,0,-1,5,0.00019130359578412026,0.9998972415924072,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
16,A,0,-2.0,baseline,17,0,1,17,2499,2499,0,56.01710101473145,56.01710101473145,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[29, 35, 67, 123, 40, 65, 19, 66, 98, 101]",[],0,0,0,0,0,0,0,0
16,A,0,-2.0,nsgrand,17,0,1,17,3999,0,3999,193.97811801172793,0.0,191.77755300188437,1,0,-1,5,0.00021411749185062945,0.9998853206634521,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
