stage,true_error_weight,count,bler,avg_queries,avg_elapsed_ms
fallback_fail,10,1,1.0,3999.0,221.44987501087599
fallback_fail,13,2,1.0,3999.0,225.81683850148693
fallback_fail,14,4,1.0,3999.0,218.9213524980005
fallback_fail,15,8,1.0,3999.0,214.88236424920615
fallback_fail,16,22,1.0,3999.0,213.18394440855957
fallback_fail,17,23,1.0,3999.0,211.5148343019309
fallback_fail,18,31,1.0,3999.0,215.0160392573584
fallback_fail,19,45,1.0,3999.0,213.2934141548402
fallback_fail,20,65,1.0,3999.0,215.01795639901852
fallback_fail,21,61,1.0,3999.0,216.76913178697626
fallback_fail,22,91,1.0,3999.0,215.74600475838992
fallback_fail,23,101,1.0,3999.0,215.27480988216928
fallback_fail,24,90,1.0,3999.0,215.41886336765148
fallback_fail,25,97,1.0,3999.0,213.68440505256396
fallback_fail,26,73,1.0,3999.0,214.84217515066968
fallback_fail,27,75,1.0,3999.0,213.42628877532357
fallback_fail,28,80,1.0,3999.0,216.67166923798504
fallback_fail,29,75,1.0,3999.0,218.47571821223633
fallback_fail,30,57,1.0,3999.0,214.1723473349039
fallback_fail,31,51,1.0,3999.0,214.40273235373965
fallback_fail,32,40,1.0,3999.0,214.59367694915272
fallback_fail,33,33,1.0,3999.0,214.0798420895766
fallback_fail,34,28,1.0,3999.0,216.0884348226578
fallback_fail,35,12,1.0,3999.0,216.5264317469943
fallback_fail,36,11,1.0,3999.0,209.68997554948808
fallback_fail,37,8,1.0,3999.0,217.59383399694343
fallback_fail,38,6,1.0,3999.0,219.293233337036
fallback_fail,39,5,1.0,3999.0,205.03156980266795
fallback_fail,40,5,1.0,3999.0,213.22318500024267
