sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
0,C,1,0.0,baseline,21,0,1,21,2499,2499,0,97.51003599376418,97.51003599376418,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[95, 68, 90, 92, 120, 93, 77, 87, 70, 103]",[],0,0,0,0,0,0,0,0
0,C,1,0.0,nsgrand,21,0,1,21,3999,0,3999,658.2408160029445,0.0,236.8277740024496,1,0,-1,5,0.00040306540904566646,0.9998934268951416,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
1,C,1,0.0,baseline,22,0,1,22,2499,2499,0,56.31680999067612,56.31680999067612,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[2, 9, 120, 105, 123, 122, 124, 0, 125, 3]",[],0,0,0,0,0,0,0,0
1,C,1,0.0,nsgrand,22,0,1,22,3999,0,3999,196.6779110080097,0.0,194.54760401276872,1,0,-1,5,0.00043392693623900414,0.9999001026153564,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
2,C,1,0.0,baseline,11,0,1,11,2499,2499,0,55.090067005949095,55.090067005949095,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[125, 111, 69, 37, 27, 93, 92, 90, 9, 64]",[],0,0,0,0,0,0,0,0
2,C,1,0.0,nsgrand,11,0,1,11,3999,0,3999,201.207081991015,0.0,199.38070300850086,1,0,-1,5,0.003176639322191477,0.9984503984451294,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
3,C,1,0.0,baseline,10,0,1,10,2499,2499,0,55.88736300705932,55.88736300705932,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[53, 61, 60, 57, 85, 117, 66, 39, 34, 99]",[],0,0,0,0,0,0,0,0
3,C,1,0.0,nsgrand,10,0,1,10,3999,0,3999,199.56157202250324,0.0,197.4876949971076,1,0,-1,5,0.0032049091532826424,0.9995654225349426,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
4,C,1,0.0,baseline,14,0,1,14,2499,2499,0,58.228167006745934,58.228167006745934,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[105, 116, 92, 67, 101, 63, 0, 21, 42, 90]",[],0,0,0,0,0,0,0,0
4,C,1,0.0,nsgrand,14,0,1,14,3999,0,3999,202.77740200981498,0.0,200.64799502142705,1,0,-1,5,0.0011316495947539806,0.999832272529602,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
5,C,1,0.0,baseline,10,0,1,10,2499,2499,0,56.26752000534907,56.26752000534907,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[62, 112, 18, 52, 6, 15, 12, 73, 71, 38]",[],0,0,0,0,0,0,0,0
5,C,1,0.0,nsgrand,10,0,1,10,3999,0,3999,202.31225501629524,0.0,200.54660600726493,1,0,-1,5,0.0010269494960084558,0.9997342228889465,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
6,C,1,0.0,baseline,11,0,1,11,2499,2499,0,56.456688995240256,56.456688995240256,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[103, 124, 118, 112, 122, 78, 79, 81, 96, 6]",[],0,0,0,0,0,0,0,0
6,C,1,0.0,nsgrand,11,0,1,11,3999,0,3999,203.30810800078325,0.0,201.47272001486272,1,0,-1,5,0.0023231978993862867,0.9997032284736633,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
7,C,1,0.0,baseline,11,0,1,11,2499,2499,0,59.867057017982006,59.867057017982006,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[119, 4, 67, 75, 92, 28, 24, 118, 57, 87]",[],0,0,0,0,0,0,0,0
7,C,1,0.0,nsgrand,11,0,1,11,3999,0,3999,214.14245900814421,0.0,212.26963101071306,1,0,-1,5,0.003211543895304203,0.9995124340057373,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
8,C,1,0.0,baseline,10,0,1,10,2499,2499,0,58.390946011058986,58.390946011058986,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[120, 100, 84, 82, 24, 97, 79, 2, 53, 25]",[],0,0,0,0,0,0,0,0
8,C,1,0.0,nsgrand,10,0,1,10,3999,0,3999,200.3694870218169,0.0,198.40572000248358,1,0,-1,5,0.0013702132273465395,0.9997853636741638,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
9,C,1,0.0,baseline,14,0,1,14,2499,2499,0,55.27054698904976,55.27054698904976,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[0, 115, 60, 81, 126, 63, 91, 47, 48, 36]",[],0,0,0,0,0,0,0,0
9,C,1,0.0,nsgrand,14,0,1,14,3999,0,3999,198.82673700340092,0.0,197.04155897488818,1,0,-1,5,0.0009672656306065619,0.9998093247413635,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
10,C,1,0.0,baseline,13,0,1,13,2499,2499,0,54.81647900887765,54.81647900887765,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[7, 104, 39, 103, 6, 73, 14, 55, 15, 12]",[],0,0,0,0,0,0,0,0
10,C,1,0.0,nsgrand,13,0,1,13,3999,0,3999,197.66054500360042,0.0,195.88235698756762,1,0,-1,5,0.00042399083031341434,0.999901294708252,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
11,C,1,0.0,baseline,9,0,1,9,2499,2499,0,55.879913008539006,55.879913008539006,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[73, 14, 43, 127, 105, 28, 96, 121, 116, 124]",[],0,0,0,0,0,0,0,0
11,C,1,0.0,nsgrand,9,0,1,9,3999,0,3999,200.58961599715985,0.0,198.81113799056038,1,0,-1,5,0.008226238191127777,0.996977686882019,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
