baseline_sample_id,baseline_profile,baseline_profile_id,baseline_snr_db,baseline_decoder,baseline_true_error_weight,baseline_decoder_success,baseline_block_error,baseline_bit_errors,baseline_queries,baseline_primary_queries,baseline_fallback_queries,baseline_elapsed_ms,baseline_primary_elapsed_ms,baseline_fallback_elapsed_ms,baseline_fallback_used,baseline_candidate_pool_size,baseline_oracle_pool_hit,baseline_predicted_weight_top,baseline_confidence_prob,baseline_predicted_overflow_prob,baseline_stage,baseline_gate_reason,baseline_search_mode,baseline_allowed_weights_json,baseline_top_segment_ids_json,baseline_pool_positions_top10_json,baseline_predicted_weight_distribution_json,baseline_primary_budget,baseline_primary_max_weight,baseline_fallback_budget,baseline_fallback_pool_size,baseline_fallback_max_weight,baseline_ai_success,baseline_fallback_success,baseline_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,baseline_better_block_error
0,E,2,0.0,baseline,11,0,1,11,2499,2499,0,97.3607659980189,97.3607659980189,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[10, 36, 6, 38, 45, 2, 1, 75, 121, 11]",[],0,0,0,0,0,0,0,0,0,E,2,0.0,nsgrand,11,0,1,11,3999,0,3999,652.7178719989024,0.0,231.85658600414172,1,0,-1,5,0.0014083727728575468,0.9998061060905457,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,0,E,0.0,11,1500,555.3571060008835,0,0,0
1,E,2,0.0,baseline,6,0,1,6,2499,2499,0,58.954551990609616,58.954551990609616,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[74, 88, 41, 86, 30, 78, 121, 94, 87, 124]",[],0,0,0,0,0,0,0,0,1,E,2,0.0,nsgrand,6,0,1,6,3999,0,3999,196.89535000361502,0.0,194.82309301383793,1,0,-1,5,0.010214273817837238,0.9920328259468079,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,1,E,0.0,6,1500,137.9407980130054,0,0,0
2,E,2,0.0,baseline,10,0,1,10,2499,2499,0,55.16013700980693,55.16013700980693,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[17, 2, 113, 112, 107, 78, 118, 62, 111, 61]",[],0,0,0,0,0,0,0,0,2,E,2,0.0,nsgrand,10,0,1,10,3999,0,3999,198.17833200795576,0.0,196.35669302078895,1,0,-1,5,0.0009970137616619468,0.9997617602348328,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,2,E,0.0,10,1500,143.01819499814883,0,0,0
3,E,2,0.0,baseline,9,0,1,9,2499,2499,0,57.62705102097243,57.62705102097243,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[21, 7, 68, 18, 13, 120, 109, 125, 97, 20]",[],0,0,0,0,0,0,0,0,3,E,2,0.0,nsgrand,9,0,1,9,3999,0,3999,198.21625101030804,0.0,196.04253498255275,1,0,-1,5,0.0030530148651450872,0.9995904564857483,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,3,E,0.0,9,1500,140.5891999893356,0,0,0
4,E,2,0.0,baseline,11,0,1,11,2499,2499,0,56.45842800731771,56.45842800731771,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[11, 41, 113, 38, 71, 65, 123, 45, 37, 29]",[],0,0,0,0,0,0,0,0,4,E,2,0.0,nsgrand,11,0,1,11,3999,0,3999,195.62721697730012,0.0,193.56681001954712,1,0,-1,5,0.0008148479973897338,0.9998664855957031,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,4,E,0.0,11,1500,139.16878896998242,0,0,0
5,E,2,0.0,baseline,11,0,1,11,2499,2499,0,56.065790995489806,56.065790995489806,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[121, 64, 91, 84, 125, 87, 78, 15, 19, 67]",[],0,0,0,0,0,0,0,0,5,E,2,0.0,nsgrand,11,0,1,11,3999,0,3999,197.43847599602304,0.0,195.37821901030838,1,0,-1,5,0.0011282627237960696,0.9997376799583435,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,5,E,0.0,11,1500,141.37268500053324,0,0,0
6,E,2,0.0,baseline,10,0,1,10,2499,2499,0,55.97263100207783,55.97263100207783,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[30, 109, 86, 25, 4, 18, 119, 114, 22, 24]",[],0,0,0,0,0,0,0,0,6,E,2,0.0,nsgrand,10,0,1,10,3999,0,3999,200.11010899906978,0.0,198.25627098907717,1,0,-1,5,0.0011337737087160349,0.999828577041626,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,6,E,0.0,10,1500,144.13747799699195,0,0,0
7,E,2,0.0,baseline,9,0,1,9,2499,2499,0,59.287351003149524,59.287351003149524,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[89, 123, 2, 126, 45, 43, 40, 93, 46, 104]",[],0,0,0,0,0,0,0,0,7,E,2,0.0,nsgrand,9,0,1,9,3999,0,3999,205.6724730064161,0.0,203.80276499781758,1,0,-1,5,0.0021227893885225058,0.999626874923706,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,7,E,0.0,9,1500,146.3851220032666,0,0,0
8,E,2,0.0,baseline,11,0,1,11,2499,2499,0,58.9213130006101,58.9213130006101,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[73, 112, 62, 127, 48, 101, 83, 82, 2, 11]",[],0,0,0,0,0,0,0,0,8,E,2,0.0,nsgrand,11,0,1,11,3999,0,3999,194.97435202356428,0.0,193.16520399297588,1,0,-1,5,0.0015177549794316292,0.9997338652610779,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,8,E,0.0,11,1500,136.05303902295418,0,0,0
9,E,2,0.0,baseline,12,0,1,12,2499,2499,0,55.956472002435476,55.956472002435476,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[109, 115, 111, 125, 99, 30, 123, 76, 96, 11]",[],0,0,0,0,0,0,0,0,9,E,2,0.0,nsgrand,12,0,1,12,3999,0,3999,192.33602899475954,0.0,190.5558000144083,1,0,-1,5,0.0009036839473992586,0.9997640252113342,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,9,E,0.0,12,1500,136.37955699232407,0,0,0
