sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
0,E,2,6.0,baseline,0,1,0,0,0,0,0,0.02436898648738861,0.02436898648738861,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
0,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.013599987141788006,0.013599987141788006,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1,E,2,6.0,baseline,1,1,0,0,1,1,0,40.05791698000394,40.05791698000394,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[60, 99, 105, 62, 31, 53, 70, 39, 46, 125]",[],0,0,0,0,0,0,0,0
1,E,2,6.0,nsgrand,1,1,0,0,1,1,0,2.2489249822683632,0.025609013391658664,0.0,0,18,1,1,0.9947364926338196,0.00012695611803792417,ai,ai_success,standard,[1],"[0, 1, 2]","[60, 63, 99, 105, 61, 103, 70, 119, 77, 125]","[0.00040190460276789963, 0.9981916546821594, 0.0012426812900230289, 2.41332108998904e-05, 1.2583826901391149e-05, 0.00012695611803792417]",1200,4,0,0,0,1,0,0
2,E,2,6.0,baseline,1,1,0,0,1,1,0,37.27727502700873,37.27727502700873,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[63, 54, 94, 91, 11, 105, 37, 88, 50, 41]",[],0,0,0,0,0,0,0,0
2,E,2,6.0,nsgrand,1,1,0,0,1,1,0,1.8023890152107924,0.023080006940290332,0.0,0,18,1,1,0.9965282082557678,0.00011982343130512163,ai,ai_success,standard,[1],"[0, 1, 2]","[63, 65, 60, 94, 105, 91, 88, 54, 92, 124]","[0.0005680063040927052, 0.9976282715797424, 0.00162802345585078, 3.760059553314932e-05, 1.8335989807383157e-05, 0.00011982343130512163]",1200,4,0,0,0,1,0,0
3,E,2,6.0,baseline,0,1,0,0,0,0,0,0.015130004612728953,0.015130004612728953,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
3,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.011249998351559043,0.011249998351559043,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
4,E,2,6.0,baseline,3,1,0,0,127,127,0,38.97918498842046,38.97918498842046,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[64, 77, 84, 68, 73, 88, 65, 104, 76, 90]",[],0,0,0,0,0,0,0,0
4,E,2,6.0,nsgrand,3,1,0,0,1,1,0,12.670016993070021,0.024930021027103066,0.0,0,18,1,4,0.9915181994438171,0.0044255792163312435,ai,ai_success,standard,"[3, 4]","[0, 1, 2]","[84, 77, 88, 64, 68, 73, 76, 65, 104, 90]","[0.0006251834565773606, 5.715308816434117e-06, 0.0017467103898525238, 0.4652353823184967, 0.5279613733291626, 0.0044255792163312435]",1200,4,0,0,0,1,0,0
5,E,2,6.0,baseline,0,1,0,0,0,0,0,0.01610000617802143,0.01610000617802143,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
