baseline_sample_id,baseline_profile,baseline_profile_id,baseline_snr_db,baseline_decoder,baseline_true_error_weight,baseline_decoder_success,baseline_block_error,baseline_bit_errors,baseline_queries,baseline_primary_queries,baseline_fallback_queries,baseline_elapsed_ms,baseline_primary_elapsed_ms,baseline_fallback_elapsed_ms,baseline_fallback_used,baseline_candidate_pool_size,baseline_oracle_pool_hit,baseline_predicted_weight_top,baseline_confidence_prob,baseline_predicted_overflow_prob,baseline_stage,baseline_gate_reason,baseline_search_mode,baseline_policy_action,baseline_allowed_weights_json,baseline_top_segment_ids_json,baseline_pool_positions_top10_json,baseline_predicted_weight_distribution_json,baseline_primary_budget,baseline_primary_max_weight,baseline_fallback_budget,baseline_fallback_pool_size,baseline_fallback_max_weight,baseline_ai_success,baseline_fallback_success,baseline_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_policy_action,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,reference_decoder,target_decoder,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,baseline_better_block_error
0,A,0,-2.0,baseline,19,0,1,19,2499,2499,0,102.27726493030787,102.27726493030787,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[43, 50, 55, 35, 119, 66, 92, 74, 37, 38]",[],0,0,0,0,0,0,0,0,0,A,0,-2.0,nsgrand,19,0,1,19,0,0,0,1116.7056551203132,1116.7056551203132,0.0,0,0,-1,5,4.3262811232125387e-05,0.9999772310256958,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,0,A,-2.0,19,baseline,nsgrand,-2499,1014.4283901900053,0,0,0
1,A,0,-2.0,baseline,16,0,1,16,2499,2499,0,49.24115817993879,49.24115817993879,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[47, 50, 68, 62, 15, 88, 57, 113, 34, 37]",[],0,0,0,0,0,0,0,0,1,A,0,-2.0,nsgrand,16,0,1,16,0,0,0,1.1672510299831629,1.1672510299831629,0.0,0,0,-1,5,8.485885336995125e-05,0.999969482421875,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,1,A,-2.0,16,baseline,nsgrand,-2499,-48.07390714995563,0,0,0
2,A,0,-2.0,baseline,17,0,1,17,2499,2499,0,50.19677011296153,50.19677011296153,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[10, 72, 100, 97, 28, 21, 70, 101, 118, 24]",[],0,0,0,0,0,0,0,0,2,A,0,-2.0,nsgrand,17,0,1,17,0,0,0,1.1868099682033062,1.1868099682033062,0.0,0,0,-1,5,6.751919136149809e-05,0.9999709129333496,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,2,A,-2.0,17,baseline,nsgrand,-2499,-49.009960144758224,0,0,0
3,A,0,-2.0,baseline,18,0,1,18,2499,2499,0,49.03775989077985,49.03775989077985,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[98, 69, 71, 21, 95, 57, 126, 39, 43, 15]",[],0,0,0,0,0,0,0,0,3,A,0,-2.0,nsgrand,18,0,1,18,0,0,0,1.0086419060826302,1.0086419060826302,0.0,0,0,-1,5,6.519351154565811e-05,0.9999725818634033,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,3,A,-2.0,18,baseline,nsgrand,-2499,-48.02911798469722,0,0,0
4,A,0,-2.0,baseline,17,0,1,17,2499,2499,0,49.25681813620031,49.25681813620031,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[23, 67, 17, 71, 110, 104, 109, 79, 68, 66]",[],0,0,0,0,0,0,0,0,4,A,0,-2.0,nsgrand,17,0,1,17,0,0,0,0.9958820883184671,0.9958820883184671,0.0,0,0,-1,5,4.944267857354134e-05,0.9999686479568481,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,4,A,-2.0,17,baseline,nsgrand,-2499,-48.26093604788184,0,0,0
5,A,0,-2.0,baseline,23,0,1,23,2499,2499,0,49.0032909438014,49.0032909438014,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[54, 97, 34, 49, 104, 60, 57, 26, 114, 16]",[],0,0,0,0,0,0,0,0,5,A,0,-2.0,nsgrand,23,0,1,23,0,0,0,0.9820021223276854,0.9820021223276854,0.0,0,0,-1,5,5.95293240621686e-05,0.9999597072601318,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,5,A,-2.0,23,baseline,nsgrand,-2499,-48.02128882147372,0,0,0
6,A,0,-2.0,baseline,22,0,1,22,2499,2499,0,49.606535118073225,49.606535118073225,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[74, 77, 121, 60, 44, 50, 57, 64, 21, 72]",[],0,0,0,0,0,0,0,0,6,A,0,-2.0,nsgrand,22,0,1,22,0,0,0,0.9892021771520376,0.9892021771520376,0.0,0,0,-1,5,4.258601984474808e-05,0.9999731779098511,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,6,A,-2.0,22,baseline,nsgrand,-2499,-48.61733294092119,0,0,0
7,A,0,-2.0,baseline,18,0,1,18,2499,2499,0,49.097609939053655,49.097609939053655,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[112, 83, 5, 116, 67, 74, 31, 100, 59, 19]",[],0,0,0,0,0,0,0,0,7,A,0,-2.0,nsgrand,18,0,1,18,0,0,0,0.9868019260466099,0.9868019260466099,0.0,0,0,-1,5,7.19295785529539e-05,0.9999686479568481,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,7,A,-2.0,18,baseline,nsgrand,-2499,-48.110808013007045,0,0,0
8,A,0,-2.0,baseline,13,0,1,13,2499,2499,0,49.2273080162704,49.2273080162704,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[62, 100, 28, 46, 10, 15, 77, 121, 109, 39]",[],0,0,0,0,0,0,0,0,8,A,0,-2.0,nsgrand,13,0,1,13,0,0,0,1.2356399092823267,1.2356399092823267,0.0,0,0,-1,5,0.00010289213241776451,0.9999700784683228,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,8,A,-2.0,13,baseline,nsgrand,-2499,-47.99166810698807,0,0,0
9,A,0,-2.0,baseline,20,0,1,20,2499,2499,0,49.047139938920736,49.047139938920736,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[101, 113, 1, 70, 76, 66, 79, 55, 47, 118]",[],0,0,0,0,0,0,0,0,9,A,0,-2.0,nsgrand,20,0,1,20,0,0,0,0.9926410857588053,0.9926410857588053,0.0,0,0,-1,5,6.147717795101926e-05,0.9999706745147705,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,9,A,-2.0,20,baseline,nsgrand,-2499,-48.05449885316193,0,0,0
10,A,0,-2.0,baseline,24,0,1,24,2499,2499,0,49.02505106292665,49.02505106292665,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[118, 19, 66, 11, 20, 23, 34, 119, 45, 21]",[],0,0,0,0,0,0,0,0,10,A,0,-2.0,nsgrand,24,0,1,24,0,0,0,0.992991030216217,0.992991030216217,0.0,0,0,-1,5,7.192471093731001e-05,0.9999618530273438,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,10,A,-2.0,24,baseline,nsgrand,-2499,-48.03206003271043,0,0,0
11,A,0,-2.0,baseline,15,0,1,15,2499,2499,0,49.171428894624114,49.171428894624114,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[49, 87, 119, 31, 65, 2, 92, 106, 0, 99]",[],0,0,0,0,0,0,0,0,11,A,0,-2.0,nsgrand,15,0,1,15,0,0,0,0.9839020203799009,0.9839020203799009,0.0,0,0,-1,5,0.00010539408685872331,0.9999662637710571,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,11,A,-2.0,15,baseline,nsgrand,-2499,-48.18752687424421,0,0,0
12,A,0,-2.0,baseline,17,0,1,17,2499,2499,0,49.36628695577383,49.36628695577383,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[55, 25, 9, 57, 73, 50, 10, 38, 22, 18]",[],0,0,0,0,0,0,0,0,12,A,0,-2.0,nsgrand,17,0,1,17,0,0,0,0.9749310556799173,0.9749310556799173,0.0,0,0,-1,5,9.322350524598733e-05,0.9999687671661377,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,12,A,-2.0,17,baseline,nsgrand,-2499,-48.39135590009391,0,0,0
13,A,0,-2.0,baseline,16,0,1,16,2499,2499,0,49.119758885353804,49.119758885353804,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[36, 28, 46, 2, 80, 83, 71, 17, 24, 10]",[],0,0,0,0,0,0,0,0,13,A,0,-2.0,nsgrand,16,0,1,16,0,0,0,0.9779918473213911,0.9779918473213911,0.0,0,0,-1,5,7.766272028675303e-05,0.999974250793457,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,13,A,-2.0,16,baseline,nsgrand,-2499,-48.14176703803241,0,0,0
