strong_symbolic_sample_id,strong_symbolic_profile,strong_symbolic_profile_id,strong_symbolic_snr_db,strong_symbolic_decoder,strong_symbolic_true_error_weight,strong_symbolic_decoder_success,strong_symbolic_block_error,strong_symbolic_bit_errors,strong_symbolic_queries,strong_symbolic_primary_queries,strong_symbolic_fallback_queries,strong_symbolic_elapsed_ms,strong_symbolic_primary_elapsed_ms,strong_symbolic_fallback_elapsed_ms,strong_symbolic_fallback_used,strong_symbolic_candidate_pool_size,strong_symbolic_oracle_pool_hit,strong_symbolic_predicted_weight_top,strong_symbolic_confidence_prob,strong_symbolic_predicted_overflow_prob,strong_symbolic_stage,strong_symbolic_gate_reason,strong_symbolic_search_mode,strong_symbolic_policy_action,strong_symbolic_allowed_weights_json,strong_symbolic_top_segment_ids_json,strong_symbolic_pool_positions_top10_json,strong_symbolic_predicted_weight_distribution_json,strong_symbolic_primary_budget,strong_symbolic_primary_max_weight,strong_symbolic_fallback_budget,strong_symbolic_fallback_pool_size,strong_symbolic_fallback_max_weight,strong_symbolic_ai_success,strong_symbolic_fallback_success,strong_symbolic_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_policy_action,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,reference_decoder,target_decoder,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,strong_symbolic_better_block_error
0,C,1,4.0,strong_symbolic,5,1,0,0,935,935,0,168.15435397438705,168.15435397438705,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[64, 53, 91, 1, 35, 42, 11, 40, 65, 21]",[],0,0,0,0,0,0,0,0,0,C,1,4.0,nsgrand,5,1,0,0,195,195,0,1278.188775992021,1.62636605091393,0.0,0,22,1,5,0.9089938402175903,0.6447903513908386,ai,ai_success,expanded_overflow,expanded_ai_search,"[4, 5]","[0, 1, 2, 3]","[53, 35, 1, 64, 11, 114, 21, 91, 65, 111]","[0.001413195044733584, 1.163731940323487e-05, 0.0001348881341982633, 0.00993342511355877, 0.3437165319919586, 0.6447903513908386]",2400,5,0,0,0,1,0,0,0,C,4.0,5,strong_symbolic,nsgrand,-740,1110.034422017634,0,0,0
1,C,1,4.0,strong_symbolic,5,0,1,5,3999,3999,0,166.8892849702388,166.8892849702388,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[81, 79, 30, 99, 97, 95, 73, 96, 102, 65]",[],0,0,0,0,0,0,0,0,1,C,1,4.0,nsgrand,5,1,0,0,7,7,0,66.21075700968504,0.08005020208656788,0.0,0,22,1,5,0.5324044823646545,0.8833045959472656,ai,ai_success,expanded_overflow,expanded_ai_search,[5],"[0, 1, 2, 3]","[30, 81, 79, 102, 85, 78, 88, 98, 97, 99]","[0.00047232111683115363, 7.85125757829519e-06, 2.2015976355760358e-05, 0.0012266363482922316, 0.11496660113334656, 0.8833045959472656]",2400,5,0,0,0,1,0,0,1,C,4.0,5,strong_symbolic,nsgrand,-3992,-100.67852796055377,-1,1,0
2,C,1,4.0,strong_symbolic,1,1,0,0,6,6,0,135.51895692944527,135.51895692944527,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[69, 64, 4, 13, 67, 28, 126, 86, 108, 59]",[],0,0,0,0,0,0,0,0,2,C,1,4.0,nsgrand,1,1,0,0,1,1,0,3.428691066801548,0.019448809325695038,0.0,0,18,1,1,0.9988023042678833,9.0342182375025e-06,ai,ai_success,standard,ai_search,[1],"[0, 1, 5]","[67, 13, 27, 69, 64, 126, 86, 108, 4, 66]","[5.217091165832244e-05, 0.9985489249229431, 0.0013778008287772536, 4.568444637698121e-06, 7.505110261263326e-06, 9.0342182375025e-06]",1200,4,0,0,0,1,0,0,2,C,4.0,1,strong_symbolic,nsgrand,-5,-132.09026586264372,0,0,0
3,C,1,4.0,strong_symbolic,8,0,1,8,3999,3999,0,171.80436407215893,171.80436407215893,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[50, 54, 61, 45, 26, 35, 55, 60, 51, 38]",[],0,0,0,0,0,0,0,0,3,C,1,4.0,nsgrand,8,0,1,8,0,0,0,1.3655789662152529,1.3655789662152529,0.0,0,0,-1,5,0.003918869886547327,0.9999159574508667,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,3,C,4.0,8,strong_symbolic,nsgrand,-3999,-170.43878510594368,0,0,0
4,C,1,4.0,strong_symbolic,4,1,0,0,1337,1337,0,150.3025139681995,150.3025139681995,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[56, 34, 39, 31, 55, 50, 22, 54, 36, 49]",[],0,0,0,0,0,0,0,0,4,C,1,4.0,nsgrand,4,1,0,0,1,1,0,84.58356279879808,0.02841884270310402,0.0,0,22,1,5,0.8779581189155579,0.6460046172142029,ai,ai_success,expanded_overflow,expanded_ai_search,"[4, 5]","[0, 1, 2, 3]","[56, 30, 55, 54, 31, 48, 59, 50, 39, 27]","[0.0005022126715630293, 5.958891051704995e-06, 4.404637365951203e-05, 0.006779367104172707, 0.34666377305984497, 0.6460046172142029]",2400,5,0,0,0,1,0,0,4,C,4.0,4,strong_symbolic,nsgrand,-1336,-65.71895116940141,0,0,0
5,C,1,4.0,strong_symbolic,2,1,0,0,38,38,0,133.46193404868245,133.46193404868245,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[59, 60, 5, 53, 74, 28, 54, 95, 29, 92]",[],0,0,0,0,0,0,0,0,5,C,1,4.0,nsgrand,2,1,0,0,1,1,0,3.9653070271015167,0.019180122762918472,0.0,0,18,1,2,0.962946891784668,0.00015990270185284317,ai,ai_success,standard,ai_search,"[2, 3]","[0, 1, 2]","[60, 29, 95, 63, 74, 111, 92, 5, 100, 54]","[3.6794779589399695e-05, 3.768534224946052e-05, 0.6468527317047119, 0.34778010845184326, 0.005132758524268866, 0.00015990270185284317]",1200,4,0,0,0,1,0,0,5,C,4.0,2,strong_symbolic,nsgrand,-37,-129.49662702158093,0,0,0
6,C,1,4.0,strong_symbolic,7,0,1,7,3999,3999,0,173.93331578932703,173.93331578932703,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[43, 51, 55, 48, 49, 10, 63, 53, 47, 78]",[],0,0,0,0,0,0,0,0,6,C,1,4.0,nsgrand,7,0,1,7,0,0,0,1.3529490679502487,1.3529490679502487,0.0,0,0,-1,5,0.09207231551408768,0.9989564418792725,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,6,C,4.0,7,strong_symbolic,nsgrand,-3999,-172.58036672137678,0,0,0
7,C,1,4.0,strong_symbolic,1,1,0,0,4,4,0,137.123994063586,137.123994063586,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[20, 65, 110, 79, 16, 7, 36, 3, 39, 40]",[],0,0,0,0,0,0,0,0,7,C,1,4.0,nsgrand,1,1,0,0,1,1,0,2.062093000859022,0.019449973478913307,0.0,0,18,1,1,0.996670663356781,1.5419824194395915e-05,ai,ai_success,standard,ai_search,[1],"[0, 1, 5]","[79, 52, 65, 110, 16, 64, 69, 76, 3, 54]","[3.6420296964934096e-05, 0.9980928301811218, 0.001842630677856505, 4.855321549257496e-06, 7.70525548432488e-06, 1.5419824194395915e-05]",1200,4,0,0,0,1,0,0,7,C,4.0,1,strong_symbolic,nsgrand,-3,-135.06190106272697,0,0,0
8,C,1,4.0,strong_symbolic,3,1,0,0,1316,1316,0,148.5181488096714,148.5181488096714,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[54, 52, 73, 41, 18, 58, 115, 102, 55, 62]",[],0,0,0,0,0,0,0,0,8,C,1,4.0,nsgrand,3,1,0,0,1406,153,1253,43.21579891256988,1.2565101496875286,40.02678510732949,1,18,1,2,0.967577338218689,2.0470608433242887e-05,fallback,postsearch_exhausted,standard,postsearch_fallback,[2],"[0, 1, 2]","[58, 82, 68, 73, 115, 102, 54, 52, 83, 71]","[1.5928422726574354e-05, 9.785260044736788e-05, 0.9663617014884949, 0.033150698989629745, 0.0003532816772349179, 2.0470608433242887e-05]",1200,4,2500,24,4,0,1,0,8,C,4.0,3,strong_symbolic,nsgrand,90,-105.30234989710152,0,0,0
9,C,1,4.0,strong_symbolic,2,1,0,0,42,42,0,137.01230403967202,137.01230403967202,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[3, 5, 112, 123, 1, 108, 19, 74, 6, 100]",[],0,0,0,0,0,0,0,0,9,C,1,4.0,nsgrand,2,1,0,0,1,1,0,2.024932997301221,0.018459977582097054,0.0,0,18,1,2,0.7021826505661011,3.7571888242382556e-05,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[1, 108, 114, 11, 112, 123, 100, 74, 38, 95]","[4.744119451061124e-06, 0.000724787125363946, 0.9957122802734375, 0.003438538871705532, 8.207926293835044e-05, 3.7571888242382556e-05]",1200,4,0,0,0,1,0,0,9,C,4.0,2,strong_symbolic,nsgrand,-41,-134.9873710423708,0,0,0
