strong_symbolic_sample_id,strong_symbolic_profile,strong_symbolic_profile_id,strong_symbolic_snr_db,strong_symbolic_decoder,strong_symbolic_true_error_weight,strong_symbolic_decoder_success,strong_symbolic_block_error,strong_symbolic_bit_errors,strong_symbolic_queries,strong_symbolic_primary_queries,strong_symbolic_fallback_queries,strong_symbolic_elapsed_ms,strong_symbolic_primary_elapsed_ms,strong_symbolic_fallback_elapsed_ms,strong_symbolic_fallback_used,strong_symbolic_candidate_pool_size,strong_symbolic_oracle_pool_hit,strong_symbolic_predicted_weight_top,strong_symbolic_confidence_prob,strong_symbolic_predicted_overflow_prob,strong_symbolic_stage,strong_symbolic_gate_reason,strong_symbolic_search_mode,strong_symbolic_policy_action,strong_symbolic_allowed_weights_json,strong_symbolic_top_segment_ids_json,strong_symbolic_pool_positions_top10_json,strong_symbolic_predicted_weight_distribution_json,strong_symbolic_primary_budget,strong_symbolic_primary_max_weight,strong_symbolic_fallback_budget,strong_symbolic_fallback_pool_size,strong_symbolic_fallback_max_weight,strong_symbolic_ai_success,strong_symbolic_fallback_success,strong_symbolic_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_policy_action,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,reference_decoder,target_decoder,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,strong_symbolic_better_block_error
0,C,1,-2.0,strong_symbolic,16,0,1,16,3999,3999,0,191.85291603207588,191.85291603207588,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[61, 108, 27, 22, 45, 41, 50, 4, 62, 95]",[],0,0,0,0,0,0,0,0,0,C,1,-2.0,nsgrand,16,0,1,16,0,0,0,1116.4891270454973,1116.4891270454973,0.0,0,0,-1,5,0.00010075540194520727,0.9999747276306152,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,0,C,-2.0,16,strong_symbolic,nsgrand,-3999,924.6362110134214,0,0,0
1,C,1,-2.0,strong_symbolic,14,0,1,14,3999,3999,0,167.26623196154833,167.26623196154833,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[47, 53, 10, 37, 59, 5, 56, 26, 109, 6]",[],0,0,0,0,0,0,0,0,1,C,1,-2.0,nsgrand,14,0,1,14,0,0,0,1.681966008618474,1.681966008618474,0.0,0,0,-1,5,7.545745756942779e-05,0.9999687671661377,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,1,C,-2.0,14,strong_symbolic,nsgrand,-3999,-165.58426595292985,0,0,0
2,C,1,-2.0,strong_symbolic,19,0,1,19,3999,3999,0,166.49509803391993,166.49509803391993,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[118, 53, 48, 100, 89, 36, 78, 26, 116, 8]",[],0,0,0,0,0,0,0,0,2,C,1,-2.0,nsgrand,19,0,1,19,0,0,0,1.2467389460653067,1.2467389460653067,0.0,0,0,-1,5,6.026914343237877e-05,0.999961256980896,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,2,C,-2.0,19,strong_symbolic,nsgrand,-3999,-165.24835908785462,0,0,0
3,C,1,-2.0,strong_symbolic,28,0,1,28,3999,3999,0,165.98727204836905,165.98727204836905,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[109, 116, 110, 69, 20, 60, 119, 114, 23, 96]",[],0,0,0,0,0,0,0,0,3,C,1,-2.0,nsgrand,28,0,1,28,0,0,0,1.2103701010346413,1.2103701010346413,0.0,0,0,-1,5,4.150125096202828e-05,0.9999715089797974,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,3,C,-2.0,28,strong_symbolic,nsgrand,-3999,-164.7769019473344,0,0,0
4,C,1,-2.0,strong_symbolic,24,0,1,24,3999,3999,0,168.57993113808334,168.57993113808334,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[95, 0, 90, 126, 41, 56, 6, 51, 9, 12]",[],0,0,0,0,0,0,0,0,4,C,1,-2.0,nsgrand,24,0,1,24,0,0,0,1.2095801066607237,1.2095801066607237,0.0,0,0,-1,5,4.0627339330967516e-05,0.9999772310256958,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,4,C,-2.0,24,strong_symbolic,nsgrand,-3999,-167.37035103142262,0,0,0
5,C,1,-2.0,strong_symbolic,22,0,1,22,3999,3999,0,167.48047014698386,167.48047014698386,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[85, 69, 23, 49, 83, 2, 64, 86, 3, 43]",[],0,0,0,0,0,0,0,0,5,C,1,-2.0,nsgrand,22,0,1,22,0,0,0,1.2765389401465654,1.2765389401465654,0.0,0,0,-1,5,6.846215546829626e-05,0.9999711513519287,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,5,C,-2.0,22,strong_symbolic,nsgrand,-3999,-166.2039312068373,0,0,0
6,C,1,-2.0,strong_symbolic,22,0,1,22,3999,3999,0,170.29113718308508,170.29113718308508,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[68, 44, 7, 66, 82, 0, 25, 28, 19, 55]",[],0,0,0,0,0,0,0,0,6,C,1,-2.0,nsgrand,22,0,1,22,0,0,0,1.5042370650917292,1.5042370650917292,0.0,0,0,-1,5,7.929532148409635e-05,0.999966025352478,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,6,C,-2.0,22,strong_symbolic,nsgrand,-3999,-168.78690011799335,0,0,0
7,C,1,-2.0,strong_symbolic,20,0,1,20,3999,3999,0,168.9950879663229,168.9950879663229,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[21, 106, 71, 116, 87, 114, 102, 2, 115, 64]",[],0,0,0,0,0,0,0,0,7,C,1,-2.0,nsgrand,20,0,1,20,0,0,0,1.2389190960675478,1.2389190960675478,0.0,0,0,-1,5,3.893103712471202e-05,0.9999712705612183,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,7,C,-2.0,20,strong_symbolic,nsgrand,-3999,-167.75616887025535,0,0,0
8,C,1,-2.0,strong_symbolic,24,0,1,24,3999,3999,0,168.49293210543692,168.49293210543692,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[90, 39, 59, 91, 67, 44, 108, 25, 119, 118]",[],0,0,0,0,0,0,0,0,8,C,1,-2.0,nsgrand,24,0,1,24,0,0,0,1.2936589773744345,1.2936589773744345,0.0,0,0,-1,5,6.398374534910545e-05,0.9999724626541138,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,8,C,-2.0,24,strong_symbolic,nsgrand,-3999,-167.1992731280625,0,0,0
9,C,1,-2.0,strong_symbolic,18,0,1,18,3999,3999,0,168.42399281449616,168.42399281449616,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[101, 88, 7, 65, 96, 4, 69, 85, 98, 107]",[],0,0,0,0,0,0,0,0,9,C,1,-2.0,nsgrand,18,0,1,18,0,0,0,1.2909299694001675,1.2909299694001675,0.0,0,0,-1,5,5.003720070817508e-05,0.9999709129333496,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,9,C,-2.0,18,strong_symbolic,nsgrand,-3999,-167.133062845096,0,0,0
