baseline_sample_id,baseline_profile,baseline_profile_id,baseline_snr_db,baseline_decoder,baseline_true_error_weight,baseline_decoder_success,baseline_block_error,baseline_bit_errors,baseline_queries,baseline_primary_queries,baseline_fallback_queries,baseline_elapsed_ms,baseline_primary_elapsed_ms,baseline_fallback_elapsed_ms,baseline_fallback_used,baseline_candidate_pool_size,baseline_oracle_pool_hit,baseline_predicted_weight_top,baseline_confidence_prob,baseline_predicted_overflow_prob,baseline_stage,baseline_gate_reason,baseline_search_mode,baseline_policy_action,baseline_allowed_weights_json,baseline_top_segment_ids_json,baseline_pool_positions_top10_json,baseline_predicted_weight_distribution_json,baseline_primary_budget,baseline_primary_max_weight,baseline_fallback_budget,baseline_fallback_pool_size,baseline_fallback_max_weight,baseline_ai_success,baseline_fallback_success,baseline_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_policy_action,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,reference_decoder,target_decoder,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,baseline_better_block_error
0,E,2,4.0,baseline,3,1,0,0,110,110,0,32.879770966246724,32.879770966246724,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[45, 115, 116, 105, 104, 22, 108, 81, 13, 46]",[],0,0,0,0,0,0,0,0,0,E,2,4.0,nsgrand,3,1,0,0,1,1,0,3.6613079719245434,0.0207400880753994,0.0,0,18,1,3,0.9820435047149658,0.00026954576605930924,ai,ai_success,standard,ai_search,[3],"[0, 1, 2]","[22, 115, 104, 76, 126, 116, 105, 3, 108, 81]","[6.052319804439321e-05, 1.0553907486610115e-05, 0.07728232443332672, 0.8901384472846985, 0.03223850950598717, 0.00026954576605930924]",1200,4,0,0,0,1,0,0,0,E,4.0,3,baseline,nsgrand,-109,-29.21846299432218,0,0,0
1,E,2,4.0,baseline,3,1,0,0,230,230,0,32.099977834150195,32.099977834150195,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[7, 115, 118, 26, 62, 20, 24, 43, 39, 34]",[],0,0,0,0,0,0,0,0,1,E,2,4.0,nsgrand,3,1,0,0,1,1,0,10.199441108852625,0.021690037101507187,0.0,0,18,1,3,0.9960214495658875,0.0012538357404991984,ai,ai_success,standard,ai_search,"[3, 4]","[0, 1, 2]","[43, 20, 118, 115, 50, 7, 26, 24, 126, 47]","[0.00020818918710574508, 4.96711936648353e-06, 0.0061548976227641106, 0.7718451023101807, 0.22053293883800507, 0.0012538357404991984]",1200,4,0,0,0,1,0,0,1,E,4.0,3,baseline,nsgrand,-229,-21.90053672529757,0,0,0
2,E,2,4.0,baseline,0,1,0,0,0,0,0,0.014839926734566689,0.014839926734566689,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0,2,E,2,4.0,nsgrand,0,1,0,0,0,0,0,0.00958004966378212,0.00958004966378212,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0,2,E,4.0,0,baseline,nsgrand,0,-0.005259877070784569,0,0,0
3,E,2,4.0,baseline,1,1,0,0,2,2,0,30.449962941929698,30.449962941929698,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[60, 38, 47, 115, 11, 62, 66, 93, 100, 65]",[],0,0,0,0,0,0,0,0,3,E,2,4.0,nsgrand,1,1,0,0,1,1,0,1.5703958924859762,0.0192299485206604,0.0,0,18,1,1,0.9992917776107788,1.2053998943883926e-05,ai,ai_success,standard,ai_search,[1],"[0, 1, 5]","[38, 115, 11, 66, 113, 65, 93, 100, 109, 88]","[0.00011851371527882293, 0.9967329502105713, 0.003116350155323744, 8.934208381106146e-06, 1.1343734513502568e-05, 1.2053998943883926e-05]",1200,4,0,0,0,1,0,0,3,E,4.0,1,baseline,nsgrand,-1,-28.87956704944372,0,0,0
4,E,2,4.0,baseline,2,1,0,0,303,303,0,33.20913785137236,33.20913785137236,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[123, 107, 24, 103, 74, 11, 82, 78, 90, 68]",[],0,0,0,0,0,0,0,0,4,E,2,4.0,nsgrand,2,1,0,0,1,1,0,2.107771812006831,0.020490027964115143,0.0,0,18,1,2,0.9529739022254944,1.967333082575351e-05,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[23, 78, 123, 107, 103, 74, 82, 68, 90, 84]","[1.1940845070057549e-05, 0.010377410799264908, 0.9888001680374146, 0.0007579181110486388, 3.288394145783968e-05, 1.967333082575351e-05]",1200,4,0,0,0,1,0,0,4,E,4.0,2,baseline,nsgrand,-302,-31.10136603936553,0,0,0
5,E,2,4.0,baseline,2,1,0,0,28,28,0,30.790338991209865,30.790338991209865,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[3, 86, 73, 67, 76, 52, 65, 61, 69, 87]",[],0,0,0,0,0,0,0,0,5,E,2,4.0,nsgrand,2,1,0,0,1,1,0,2.164401113986969,0.01983996480703354,0.0,0,18,1,2,0.9981252551078796,8.976244885161577e-07,ai,ai_success,standard,ai_search,[2],"[0, 1, 7]","[67, 73, 3, 86, 76, 65, 87, 69, 81, 80]","[7.920017196738627e-06, 0.0006543839117512107, 0.9974240064620972, 0.001892106607556343, 2.070406117127277e-05, 8.976244885161577e-07]",1200,4,0,0,0,1,0,0,5,E,4.0,2,baseline,nsgrand,-27,-28.625937877222896,0,0,0
6,E,2,4.0,baseline,1,1,0,0,8,8,0,30.381052987650037,30.381052987650037,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[30, 122, 104, 98, 5, 26, 17, 48, 18, 34]",[],0,0,0,0,0,0,0,0,6,E,2,4.0,nsgrand,1,1,0,0,1,1,0,1.790544018149376,0.019148923456668854,0.0,0,18,1,1,0.9981598258018494,1.6465939552290365e-05,ai,ai_success,standard,ai_search,[1],"[0, 1, 5]","[5, 104, 122, 98, 48, 70, 16, 105, 26, 107]","[6.258852226892486e-05, 0.9938475489616394, 0.006048922426998615, 1.2472624803194776e-05, 1.2127254194638226e-05, 1.6465939552290365e-05]",1200,4,0,0,0,1,0,0,6,E,4.0,1,baseline,nsgrand,-7,-28.59050896950066,0,0,0
7,E,2,4.0,baseline,1,1,0,0,3,3,0,30.30422399751842,30.30422399751842,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[14, 110, 31, 57, 30, 34, 2, 10, 29, 75]",[],0,0,0,0,0,0,0,0,7,E,2,4.0,nsgrand,1,1,0,0,1,1,0,1.5929059591144323,0.01840991899371147,0.0,0,18,1,1,0.9956730008125305,3.8826481613796204e-05,ai,ai_success,standard,ai_search,[1],"[0, 1, 5]","[31, 96, 110, 75, 55, 101, 111, 64, 121, 10]","[0.00010268081678077579, 0.9431566596031189, 0.056608665734529495, 6.4004649175331e-05, 2.9193339287303388e-05, 3.8826481613796204e-05]",1200,4,0,0,0,1,0,0,7,E,4.0,1,baseline,nsgrand,-2,-28.711318038403988,0,0,0
8,E,2,4.0,baseline,1,1,0,0,3,3,0,30.30764381401241,30.30764381401241,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[35, 2, 8, 51, 94, 14, 55, 33, 72, 119]",[],0,0,0,0,0,0,0,0,8,E,2,4.0,nsgrand,1,1,0,0,1,1,0,1.925943186506629,0.018880004063248634,0.0,0,18,1,1,0.9982629418373108,2.33707014558604e-05,ai,ai_success,standard,ai_search,[1],"[0, 1, 5]","[8, 94, 72, 111, 119, 77, 2, 113, 92, 124]","[0.00011381962394807488, 0.9958200454711914, 0.004019355401396751, 9.891447007248644e-06, 1.3479823792295065e-05, 2.33707014558604e-05]",1200,4,0,0,0,1,0,0,8,E,4.0,1,baseline,nsgrand,-2,-28.38170062750578,0,0,0
9,E,2,4.0,baseline,0,1,0,0,0,0,0,0.014959834516048431,0.014959834516048431,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0,9,E,2,4.0,nsgrand,0,1,0,0,0,0,0,0.009540002793073654,0.009540002793073654,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0,9,E,4.0,0,baseline,nsgrand,0,-0.005419831722974777,0,0,0
