stage,true_error_weight,count,bler,avg_queries,avg_elapsed_ms
ai,1,348,0.0,1.0,1.2513874239159812
ai,2,95,0.010526315789473684,1.0736842105263158,1.568483120124591
ai,3,21,0.0,4.0476190476190474,3.9935223092990264
ai,4,3,0.3333333333333333,2.6666666666666665,7.147857686504722
ai,5,3,0.0,7.666666666666667,71.98899922271569
fallback,1,1,0.0,161.0,33.2174370996654
fallback,3,1,0.0,213.0,32.98315778374672
fallback,4,3,0.0,1786.6666666666667,68.36801278404891
fallback_fail,5,1,1.0,3699.0,69.60389018058777
hard_decision,0,720,0.0,0.0,0.008313478125880161
skip_hopeless,5,1,1.0,0.0,1.0432021226733923
skip_hopeless,6,1,1.0,0.0,1.1797298211604357
skip_hopeless,7,1,1.0,0.0,1.009022118523717
skip_hopeless,14,1,1.0,0.0,1.040521077811718
