stage,true_error_weight,count,bler,avg_queries,avg_elapsed_ms
skip_hopeless,6,1,1.0,0.0,1.3236701488494873
skip_hopeless,7,3,1.0,0.0,1.4990510729451973
skip_hopeless,8,2,1.0,0.0,1.4905279967933893
skip_hopeless,9,7,1.0,0.0,1.364879243608032
skip_hopeless,10,15,1.0,0.0,1.408082510655125
skip_hopeless,11,34,1.0,0.0,1.3993626172818683
skip_hopeless,12,48,1.0,0.0,1.396084403192314
skip_hopeless,13,71,1.0,0.0,1.4074159733636278
skip_hopeless,14,102,1.0,0.0,1.3991862663305272
skip_hopeless,15,109,1.0,0.0,1.4159784912892164
skip_hopeless,16,112,1.0,0.0,1.405454718873703
skip_hopeless,17,128,1.0,0.0,10.06542122013343
skip_hopeless,18,118,1.0,0.0,1.4136566808131539
skip_hopeless,19,115,1.0,0.0,1.4087989217723194
skip_hopeless,20,86,1.0,0.0,1.4047613800611607
skip_hopeless,21,70,1.0,0.0,1.4171198642413532
skip_hopeless,22,59,1.0,0.0,1.4207130337481277
skip_hopeless,23,37,1.0,0.0,1.434689570167983
skip_hopeless,24,44,1.0,0.0,1.4215366576205601
skip_hopeless,25,18,1.0,0.0,1.4068046196674306
skip_hopeless,26,7,1.0,0.0,1.4931835300688232
skip_hopeless,27,3,1.0,0.0,1.471604531009992
skip_hopeless,28,2,1.0,0.0,1.410493510775268
skip_hopeless,29,2,1.0,0.0,1.2891445076093078
skip_hopeless,30,2,1.0,0.0,1.485407934524119
skip_hopeless,31,3,1.0,0.0,1.492111012339592
skip_hopeless,32,2,1.0,0.0,1.3392739929258823
