decoder,true_error_weight,block_error_rate,avg_queries,avg_elapsed_ms
baseline,0,0.0,0.0,0.030088754169068054
baseline,1,0.00967741935483871,29.88064516129032,30.615645474929522
baseline,2,0.05646359583952452,192.52526002971769,32.19820361620405
baseline,3,0.16651333946642136,666.8141674333027,35.83200794487006
baseline,4,0.46254071661237783,1661.199782844734,43.864011589587385
baseline,5,1.0,2489.554010695187,50.35092641903277
baseline,6,1.0,2493.7657992565055,50.42744826385809
baseline,7,1.0,2499.0,50.41346576923228
baseline,8,1.0,2499.0,50.35442863904179
baseline,9,1.0,2499.0,50.4791162050244
baseline,10,1.0,2499.0,51.16304903933706
baseline,11,1.0,2499.0,51.21269266470518
baseline,12,1.0,2499.0,50.325994905649445
baseline,13,1.0,2499.0,50.38640268158893
baseline,14,1.0,2499.0,50.590475861666505
baseline,15,1.0,2499.0,50.29892653544079
baseline,16,1.0,2499.0,50.33354248112609
baseline,17,1.0,2499.0,50.3153353904212
baseline,18,1.0,2499.0,50.1998150919698
baseline,19,1.0,2499.0,51.2826191383266
baseline,20,1.0,2499.0,50.11370127393427
baseline,21,1.0,2499.0,50.74930375319927
baseline,22,1.0,2499.0,51.12295983271322
baseline,23,1.0,2499.0,50.01976673414196
baseline,24,1.0,2499.0,50.277566026076826
baseline,25,1.0,2499.0,50.38166068577958
baseline,26,1.0,2499.0,49.87184721487703
baseline,27,1.0,2499.0,49.87121688218081
baseline,28,1.0,2499.0,49.78264867134226
baseline,29,1.0,2499.0,50.075517474354506
baseline,30,1.0,2499.0,49.716360897332784
baseline,31,1.0,2499.0,50.8019757200826
baseline,32,1.0,2499.0,49.93586819214018
baseline,33,1.0,2499.0,49.85196951466302
baseline,34,1.0,2499.0,49.9721254102152
baseline,35,1.0,2499.0,49.710987350688534
baseline,36,1.0,2499.0,49.688036481303904
baseline,37,1.0,2499.0,50.17613458801948
baseline,38,1.0,2499.0,49.8518937965855
baseline,39,1.0,2499.0,49.21424970962107
baseline,40,1.0,2499.0,49.83024285840137
baseline,41,1.0,2499.0,48.80970809608698
baseline,42,1.0,2499.0,50.80132395960391
baseline,44,1.0,2499.0,50.35368097014725
baseline,48,1.0,2499.0,49.11628901027143
nsgrand,0,0.0,0.0,0.008829610590831236
nsgrand,1,0.0016129032258064516,7.053763440860215,1.999553325911483
nsgrand,2,0.01263001485884101,16.180534918276376,5.304229683083597
nsgrand,3,0.05703771849126035,140.15823367065317,12.765722992515538
nsgrand,4,0.1281216069489685,314.36373507057544,48.61805363265994
nsgrand,5,0.4770053475935829,198.10053475935828,46.27675113646702
nsgrand,6,1.0,762.9888475836432,25.642646029141478
nsgrand,7,1.0,96.51373626373626,6.072331551567314
nsgrand,8,1.0,21.48830409356725,2.0020679949935287
nsgrand,9,1.0,7.225663716814159,4.831614352248961
nsgrand,10,1.0,0.0,3.0427771938112818
nsgrand,11,1.0,0.0,1.3270837172947743
nsgrand,12,1.0,0.0,1.3285503677132855
nsgrand,13,1.0,0.0,3.1069720330567785
nsgrand,14,1.0,0.0,1.320660520608041
nsgrand,15,1.0,0.0,1.3197254604118824
nsgrand,16,1.0,0.0,3.3504099451461755
nsgrand,17,1.0,0.0,3.3127534818207924
nsgrand,18,1.0,0.0,1.3125141905571067
nsgrand,19,1.0,0.0,3.3909783028414315
nsgrand,20,1.0,0.0,1.2978040204592505
nsgrand,21,1.0,0.0,1.284246712442867
nsgrand,22,1.0,0.0,3.5226473306122434
nsgrand,23,1.0,0.0,1.2946383031348907
nsgrand,24,1.0,0.0,1.2676505193630208
nsgrand,25,1.0,0.0,3.95789691100114
nsgrand,26,1.0,0.0,1.2606219240613488
nsgrand,27,1.0,0.0,1.2535942758529866
nsgrand,28,1.0,0.0,1.232590855248134
nsgrand,29,1.0,0.0,6.476266968759223
nsgrand,30,1.0,0.0,1.210957757313047
nsgrand,31,1.0,0.0,1.2133574711169892
nsgrand,32,1.0,0.0,1.2504955343699649
nsgrand,33,1.0,0.0,1.2261939700692892
nsgrand,34,1.0,0.0,1.2472621729653892
nsgrand,35,1.0,0.0,1.1857112762160027
nsgrand,36,1.0,0.0,1.2057894953237525
nsgrand,37,1.0,0.0,1.2570007238537073
nsgrand,38,1.0,0.0,1.190638984553516
nsgrand,39,1.0,0.0,1.0284431821977098
nsgrand,40,1.0,0.0,1.292326720431447
nsgrand,41,1.0,0.0,0.9665121324360372
nsgrand,42,1.0,0.0,1.564995851367712
nsgrand,44,1.0,0.0,1.2942401226609943
nsgrand,48,1.0,0.0,0.9784020949155092
strong_symbolic,0,0.0,0.0,0.008263420009604144
strong_symbolic,1,0.00967741935483871,44.706989247311824,139.2815449924749
strong_symbolic,2,0.05646359583952452,277.2221396731055,141.58087827190536
strong_symbolic,3,0.15823367065317387,913.9852805887765,147.46401044188826
strong_symbolic,4,0.3745928338762215,2253.2779587404993,158.58233886787085
strong_symbolic,5,0.8128342245989305,3611.9807486631016,168.81840500786382
strong_symbolic,6,1.0,3987.7633209417595,172.29584623687893
strong_symbolic,7,1.0,3995.7156593406594,171.79854560367107
strong_symbolic,8,1.0,3999.0,171.9260924520946
strong_symbolic,9,1.0,3999.0,172.08207516819732
