strong_symbolic_sample_id,strong_symbolic_profile,strong_symbolic_profile_id,strong_symbolic_snr_db,strong_symbolic_decoder,strong_symbolic_true_error_weight,strong_symbolic_decoder_success,strong_symbolic_block_error,strong_symbolic_bit_errors,strong_symbolic_queries,strong_symbolic_primary_queries,strong_symbolic_fallback_queries,strong_symbolic_elapsed_ms,strong_symbolic_primary_elapsed_ms,strong_symbolic_fallback_elapsed_ms,strong_symbolic_fallback_used,strong_symbolic_candidate_pool_size,strong_symbolic_oracle_pool_hit,strong_symbolic_predicted_weight_top,strong_symbolic_confidence_prob,strong_symbolic_predicted_overflow_prob,strong_symbolic_stage,strong_symbolic_gate_reason,strong_symbolic_search_mode,strong_symbolic_policy_action,strong_symbolic_allowed_weights_json,strong_symbolic_top_segment_ids_json,strong_symbolic_pool_positions_top10_json,strong_symbolic_predicted_weight_distribution_json,strong_symbolic_primary_budget,strong_symbolic_primary_max_weight,strong_symbolic_fallback_budget,strong_symbolic_fallback_pool_size,strong_symbolic_fallback_max_weight,strong_symbolic_ai_success,strong_symbolic_fallback_success,strong_symbolic_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_policy_action,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,reference_decoder,target_decoder,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,strong_symbolic_better_block_error
0,E,2,4.0,strong_symbolic,3,1,0,0,79,79,0,154.3553490191698,154.3553490191698,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[81, 116, 105, 22, 115, 104, 76, 108, 45, 126]",[],0,0,0,0,0,0,0,0,0,E,2,4.0,nsgrand,3,1,0,0,1,1,0,11.290811002254486,0.025570159777998924,0.0,0,18,1,3,0.9187753200531006,0.012431615963578224,ai,ai_success,standard,ai_search,"[3, 4]","[0, 1, 2]","[22, 104, 115, 76, 126, 81, 105, 3, 116, 108]","[0.00017073612252715975, 1.579401214257814e-05, 0.00493672164157033, 0.6218788027763367, 0.3605663776397705, 0.012431615963578224]",1200,4,0,0,0,1,0,0,0,E,4.0,3,strong_symbolic,nsgrand,-78,-143.06453801691532,0,0,0
1,E,2,4.0,strong_symbolic,2,0,1,2,3999,3999,0,191.47541699931026,191.47541699931026,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[1, 37, 38, 49, 108, 33, 71, 99, 79, 67]",[],0,0,0,0,0,0,0,0,1,E,2,4.0,nsgrand,2,1,0,0,2,2,0,2.4996111169457436,0.03253994509577751,0.0,0,18,1,2,0.684853196144104,0.0014436900382861495,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[37, 71, 6, 108, 79, 99, 38, 110, 67, 48]","[1.2895182408101391e-05, 0.0009783529676496983, 0.9300058484077454, 0.06538420915603638, 0.002175033325329423, 0.0014436900382861495]",1200,4,0,0,0,1,0,0,1,E,4.0,2,strong_symbolic,nsgrand,-3997,-188.9758058823645,-1,1,0
2,E,2,4.0,strong_symbolic,1,1,0,0,4,4,0,151.9260690547526,151.9260690547526,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[17, 106, 92, 35, 119, 14, 28, 16, 124, 27]",[],0,0,0,0,0,0,0,0,2,E,2,4.0,nsgrand,1,1,0,0,1,1,0,2.065554028376937,0.019669998437166214,0.0,0,18,1,1,0.9899914264678955,0.00015994776913430542,ai,ai_success,standard,ai_search,[1],"[0, 1, 2]","[35, 92, 106, 124, 119, 16, 126, 26, 123, 17]","[0.00020440372463781387, 0.9966918230056763, 0.0028403180185705423, 4.384801650303416e-05, 5.972509825369343e-05, 0.00015994776913430542]",1200,4,0,0,0,1,0,0,2,E,4.0,1,strong_symbolic,nsgrand,-3,-149.86051502637565,0,0,0
3,E,2,4.0,strong_symbolic,10,0,1,10,3999,3999,0,187.43789801374078,187.43789801374078,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[38, 32, 56, 40, 27, 13, 24, 121, 53, 58]",[],0,0,0,0,0,0,0,0,3,E,2,4.0,nsgrand,10,0,1,10,0,0,0,1.572247827425599,1.572247827425599,0.0,0,0,-1,5,0.009715823456645012,0.9988192915916443,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,3,E,4.0,10,strong_symbolic,nsgrand,-3999,-185.86565018631518,0,0,0
4,E,2,4.0,strong_symbolic,1,1,0,0,20,20,0,155.49701103009284,155.49701103009284,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[115, 13, 26, 39, 27, 40, 5, 59, 57, 120]",[],0,0,0,0,0,0,0,0,4,E,2,4.0,nsgrand,1,1,0,0,1,1,0,1.8826150335371494,0.02076011151075363,0.0,0,18,1,1,0.9492239356040955,0.0004410138644743711,ai,ai_success,standard,ai_search,[1],"[0, 1, 2]","[105, 4, 61, 115, 120, 96, 89, 104, 5, 26]","[6.271655001910403e-05, 0.988772451877594, 0.010406224988400936, 0.0001570771710248664, 0.00016046574455685914, 0.0004410138644743711]",1200,4,0,0,0,1,0,0,4,E,4.0,1,strong_symbolic,nsgrand,-19,-153.6143959965557,0,0,0
5,E,2,4.0,strong_symbolic,1,1,0,0,1,1,0,153.79324392415583,153.79324392415583,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[29, 42, 92, 8, 58, 54, 53, 98, 15, 118]",[],0,0,0,0,0,0,0,0,5,E,2,4.0,nsgrand,1,1,0,0,1,1,0,2.092854119837284,0.02113007940351963,0.0,0,18,1,1,0.9945622086524963,0.00012359254469629377,ai,ai_success,standard,ai_search,[1],"[0, 1, 2]","[29, 75, 92, 58, 98, 127, 109, 88, 54, 118]","[0.0003735736245289445, 0.9961361289024353, 0.003253631992265582, 5.2141083870083094e-05, 6.090570241212845e-05, 0.00012359254469629377]",1200,4,0,0,0,1,0,0,5,E,4.0,1,strong_symbolic,nsgrand,0,-151.70038980431855,0,0,0
6,E,2,4.0,strong_symbolic,1,1,0,0,2,2,0,153.95388309843838,153.95388309843838,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[68, 96, 118, 62, 111, 48, 85, 67, 84, 97]",[],0,0,0,0,0,0,0,0,6,E,2,4.0,nsgrand,1,1,0,0,1,1,0,2.0483131520450115,0.019988976418972015,0.0,0,18,1,1,0.9793540239334106,0.00021809116879012436,ai,ai_success,standard,ai_search,[1],"[0, 1, 2]","[96, 31, 42, 68, 118, 48, 84, 85, 111, 67]","[0.0001197817109641619, 0.9946603178977966, 0.004826768301427364, 7.779588486300781e-05, 9.730014426168054e-05, 0.00021809116879012436]",1200,4,0,0,0,1,0,0,6,E,4.0,1,strong_symbolic,nsgrand,-1,-151.90556994639337,0,0,0
7,E,2,4.0,strong_symbolic,4,0,1,4,3999,3999,0,188.82990698330104,188.82990698330104,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[26, 27, 48, 25, 6, 11, 41, 1, 35, 28]",[],0,0,0,0,0,0,0,0,7,E,2,4.0,nsgrand,4,1,0,0,1,1,0,93.30572211183608,0.03685895353555679,0.0,0,22,1,5,0.19831483066082,0.8484014272689819,ai,ai_success,expanded_overflow,expanded_ai_search,"[4, 5]","[0, 1, 2, 3]","[41, 25, 20, 37, 27, 125, 117, 114, 48, 116]","[0.00012033779785269871, 2.682507556528435e-06, 1.2552957741718274e-05, 0.004048957489430904, 0.14741402864456177, 0.8484014272689819]",2400,5,0,0,0,1,0,0,7,E,4.0,4,strong_symbolic,nsgrand,-3998,-95.52418487146497,-1,1,0
8,E,2,4.0,strong_symbolic,3,1,0,0,412,412,0,157.62517391704023,157.62517391704023,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[55, 2, 77, 8, 122, 3, 5, 66, 96, 62]",[],0,0,0,0,0,0,0,0,8,E,2,4.0,nsgrand,3,1,0,0,4,4,0,4.393805051222444,0.05280901677906513,0.0,0,18,1,3,0.8086154460906982,0.002980890916660428,ai,ai_success,standard,ai_search,"[2, 3]","[0, 1, 2]","[2, 66, 72, 94, 77, 122, 96, 74, 51, 56]","[2.544039125496056e-05, 4.9365669838152826e-05, 0.13034695386886597, 0.8125273585319519, 0.05407005175948143, 0.002980890916660428]",1200,4,0,0,0,1,0,0,8,E,4.0,3,strong_symbolic,nsgrand,-408,-153.23136886581779,0,0,0
9,E,2,4.0,strong_symbolic,5,1,0,0,938,938,0,161.65401181206107,161.65401181206107,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[9, 11, 46, 33, 43, 6, 53, 126, 42, 70]",[],0,0,0,0,0,0,0,0,9,E,2,4.0,nsgrand,5,1,0,0,38,38,0,94.48607312515378,0.3874769899994135,0.0,0,22,1,5,0.4019376039505005,0.8334091305732727,ai,ai_success,expanded_overflow,expanded_ai_search,"[4, 5]","[0, 1, 2, 3]","[11, 43, 6, 33, 126, 42, 123, 38, 1, 9]","[0.00019399677694309503, 4.750639618578134e-06, 1.4189608009473886e-05, 0.0035092716570943594, 0.16286863386631012, 0.8334091305732727]",2400,5,0,0,0,1,0,0,9,E,4.0,5,strong_symbolic,nsgrand,-900,-67.16793868690729,0,0,0
