sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,policy_action,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
0,E,2,6.0,baseline,0,1,0,0,0,0,0,0.03381003625690937,0.03381003625690937,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
0,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.012930016964673996,0.012930016964673996,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
0,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.01134001649916172,0.01134001649916172,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
1,E,2,6.0,baseline,2,1,0,0,3,3,0,39.57409714348614,39.57409714348614,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[60, 31, 70, 46, 39, 52, 99, 105, 62, 36]",[],0,0,0,0,0,0,0,0
1,E,2,6.0,nsgrand,2,1,0,0,1,1,0,3.1253148335963488,0.023518921807408333,0.0,0,18,1,2,0.9571759700775146,0.00016351783415302634,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[60, 31, 70, 99, 105, 39, 64, 103, 61, 96]","[2.617603058752138e-05, 0.004774343688040972, 0.9795911312103271, 0.015116749331355095, 0.00032812016434036195, 0.00016351783415302634]",1200,4,0,0,0,1,0,0
1,E,2,6.0,strong_symbolic,2,1,0,0,3,3,0,195.5294639337808,195.5294639337808,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[60, 31, 70, 46, 39, 52, 99, 105, 62, 36]",[],0,0,0,0,0,0,0,0
2,E,2,6.0,baseline,0,1,0,0,0,0,0,0.02606981433928013,0.02606981433928013,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
2,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.011730007827281952,0.011730007827281952,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
2,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.00888993963599205,0.00888993963599205,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
3,E,2,6.0,baseline,2,1,0,0,3,3,0,36.968588130548596,36.968588130548596,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[36, 73, 38, 78, 94, 6, 66, 72, 70, 81]",[],0,0,0,0,0,0,0,0
3,E,2,6.0,nsgrand,2,1,0,0,1,1,0,2.58084898814559,0.022548949345946312,0.0,0,18,1,2,0.9866705536842346,0.00012611561396624893,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[36, 73, 78, 94, 66, 70, 51, 72, 38, 26]","[8.768952102400362e-05, 0.018927697092294693, 0.9708651900291443, 0.009734026156365871, 0.00025940671912394464, 0.00012611561396624893]",1200,4,0,0,0,1,0,0
3,E,2,6.0,strong_symbolic,2,1,0,0,3,3,0,168.80366601981223,168.80366601981223,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[36, 73, 38, 78, 94, 6, 66, 72, 70, 81]",[],0,0,0,0,0,0,0,0
4,E,2,6.0,baseline,1,1,0,0,1,1,0,33.3301261998713,33.3301261998713,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[53, 42, 77, 64, 84, 25, 73, 124, 71, 68]",[],0,0,0,0,0,0,0,0
