strong_symbolic_sample_id,strong_symbolic_profile,strong_symbolic_profile_id,strong_symbolic_snr_db,strong_symbolic_decoder,strong_symbolic_true_error_weight,strong_symbolic_decoder_success,strong_symbolic_block_error,strong_symbolic_bit_errors,strong_symbolic_queries,strong_symbolic_primary_queries,strong_symbolic_fallback_queries,strong_symbolic_elapsed_ms,strong_symbolic_primary_elapsed_ms,strong_symbolic_fallback_elapsed_ms,strong_symbolic_fallback_used,strong_symbolic_candidate_pool_size,strong_symbolic_oracle_pool_hit,strong_symbolic_predicted_weight_top,strong_symbolic_confidence_prob,strong_symbolic_predicted_overflow_prob,strong_symbolic_stage,strong_symbolic_gate_reason,strong_symbolic_search_mode,strong_symbolic_policy_action,strong_symbolic_allowed_weights_json,strong_symbolic_top_segment_ids_json,strong_symbolic_pool_positions_top10_json,strong_symbolic_predicted_weight_distribution_json,strong_symbolic_primary_budget,strong_symbolic_primary_max_weight,strong_symbolic_fallback_budget,strong_symbolic_fallback_pool_size,strong_symbolic_fallback_max_weight,strong_symbolic_ai_success,strong_symbolic_fallback_success,strong_symbolic_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_policy_action,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,reference_decoder,target_decoder,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,strong_symbolic_better_block_error
0,E,2,-4.0,strong_symbolic,26,0,1,26,3999,3999,0,191.7683440260589,191.7683440260589,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[123, 59, 69, 25, 125, 76, 58, 49, 51, 88]",[],0,0,0,0,0,0,0,0,0,E,2,-4.0,nsgrand,26,0,1,26,0,0,0,1143.7251279130578,1143.7251279130578,0.0,0,0,-1,5,0.00013547827256843448,0.9999216794967651,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,0,E,-4.0,26,strong_symbolic,nsgrand,-3999,951.9567838869989,0,0,0
1,E,2,-4.0,strong_symbolic,22,0,1,22,3999,3999,0,176.1280270293355,176.1280270293355,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[37, 35, 118, 116, 68, 102, 105, 81, 7, 71]",[],0,0,0,0,0,0,0,0,1,E,2,-4.0,nsgrand,22,0,1,22,0,0,0,1.6533369198441505,1.6533369198441505,0.0,0,0,-1,5,0.00013060332275927067,0.9999303817749023,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,1,E,-4.0,22,strong_symbolic,nsgrand,-3999,-174.47469010949135,0,0,0
2,E,2,-4.0,strong_symbolic,23,0,1,23,3999,3999,0,167.73411398753524,167.73411398753524,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[120, 34, 87, 63, 117, 10, 11, 49, 82, 66]",[],0,0,0,0,0,0,0,0,2,E,2,-4.0,nsgrand,23,0,1,23,0,0,0,1.5557981096208096,1.5557981096208096,0.0,0,0,-1,5,0.00013583412510342896,0.9999223947525024,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,2,E,-4.0,23,strong_symbolic,nsgrand,-3999,-166.17831587791443,0,0,0
3,E,2,-4.0,strong_symbolic,28,0,1,28,3999,3999,0,165.13327392749488,165.13327392749488,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[72, 23, 40, 35, 12, 43, 52, 118, 127, 18]",[],0,0,0,0,0,0,0,0,3,E,2,-4.0,nsgrand,28,0,1,28,0,0,0,1.3297200202941895,1.3297200202941895,0.0,0,0,-1,5,0.00013489909179043025,0.9999098777770996,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,3,E,-4.0,28,strong_symbolic,nsgrand,-3999,-163.8035539072007,0,0,0
4,E,2,-4.0,strong_symbolic,24,0,1,24,3999,3999,0,178.61895798705518,178.61895798705518,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[101, 113, 70, 52, 98, 54, 30, 21, 77, 37]",[],0,0,0,0,0,0,0,0,4,E,2,-4.0,nsgrand,24,0,1,24,0,0,0,1.5997679438441992,1.5997679438441992,0.0,0,0,-1,5,0.00012651595170609653,0.9999196529388428,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,4,E,-4.0,24,strong_symbolic,nsgrand,-3999,-177.01919004321098,0,0,0
5,E,2,-4.0,strong_symbolic,27,0,1,27,3999,3999,0,170.12856504879892,170.12856504879892,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[92, 113, 64, 1, 72, 57, 123, 97, 85, 11]",[],0,0,0,0,0,0,0,0,5,E,2,-4.0,nsgrand,27,0,1,27,0,0,0,1.5925669576972723,1.5925669576972723,0.0,0,0,-1,5,0.0001121535460697487,0.9999366998672485,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,5,E,-4.0,27,strong_symbolic,nsgrand,-3999,-168.53599809110165,0,0,0
6,E,2,-4.0,strong_symbolic,17,0,1,17,3999,3999,0,168.99716388434172,168.99716388434172,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[11, 99, 39, 13, 124, 44, 42, 54, 118, 113]",[],0,0,0,0,0,0,0,0,6,E,2,-4.0,nsgrand,17,0,1,17,0,0,0,1.3078299816697836,1.3078299816697836,0.0,0,0,-1,5,0.00014673011901322752,0.9999204874038696,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,6,E,-4.0,17,strong_symbolic,nsgrand,-3999,-167.68933390267193,0,0,0
7,E,2,-4.0,strong_symbolic,19,0,1,19,3999,3999,0,167.8978130221367,167.8978130221367,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[13, 54, 126, 114, 112, 20, 117, 80, 118, 75]",[],0,0,0,0,0,0,0,0,7,E,2,-4.0,nsgrand,19,0,1,19,0,0,0,1.3760989531874657,1.3760989531874657,0.0,0,0,-1,5,0.0001256031246157363,0.9999212026596069,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,7,E,-4.0,19,strong_symbolic,nsgrand,-3999,-166.52171406894922,0,0,0
8,E,2,-4.0,strong_symbolic,30,0,1,30,3999,3999,0,169.1030531655997,169.1030531655997,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[41, 34, 69, 67, 108, 89, 96, 25, 21, 103]",[],0,0,0,0,0,0,0,0,8,E,2,-4.0,nsgrand,30,0,1,30,0,0,0,1.585997873917222,1.585997873917222,0.0,0,0,-1,5,0.00013859025784768164,0.999921441078186,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,8,E,-4.0,30,strong_symbolic,nsgrand,-3999,-167.51705529168248,0,0,0
9,E,2,-4.0,strong_symbolic,18,0,1,18,3999,3999,0,172.2064190544188,172.2064190544188,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[54, 41, 96, 111, 119, 114, 47, 122, 107, 36]",[],0,0,0,0,0,0,0,0,9,E,2,-4.0,nsgrand,18,0,1,18,0,0,0,1.5376079827547073,1.5376079827547073,0.0,0,0,-1,5,0.00014120276318863034,0.9999103546142578,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,9,E,-4.0,18,strong_symbolic,nsgrand,-3999,-170.6688110716641,0,0,0
